orifice_width,aspect_ratio,flow_rate_ratio,capillary_number,normalized_oil_inlet,normalized_water_inlet,expansion_ratio,depth,hyd_d,droplet_size,normalized_size,normalized_hyd_size,generation_rate,q_in,viscosity_ratio
22.5,1,1.217391304,0.777085457,1,1,1,22.5,22.5,29.44,1.308444444,1.308444444,4779.899744,230,1.63392405
22.5,1,1.695652174,1.082369029,1,1,1,22.5,22.5,27.314,1.213955556,1.213955556,5985.16723,230,1.63392405
22.5,1,1.717391304,1.096245555,1,1,1,22.5,22.5,27.42,1.218666667,1.218666667,5916.022993,230,1.63392405
22.5,1,3.636363636,1.110122081,1,1,1,22.5,22.5,24.51,1.089333333,1.089333333,3961.568046,110,1.63392405
22.5,1,2.666666667,1.110122081,1,1,1,22.5,22.5,24.376,1.083377778,1.083377778,5491.71896,150,1.63392405
22.5,1,2.105263158,1.110122081,1,1,1,22.5,22.5,25.867,1.149644444,1.149644444,5821.297308,190,1.63392405
22.5,1,1.818181818,1.110122081,1,1,1,22.5,22.5,26.877,1.194533333,1.194533333,6008.757476,220,1.63392405
22.5,1,1.777777778,1.110122081,1,1,1,22.5,22.5,26.923,1.196577778,1.196577778,6113.874689,225,1.63392405
22.5,1,1.739130435,1.110122081,1,1,1,22.5,22.5,26.923,1.196577778,1.196577778,6249.738571,230,1.63392405
22.5,1,1.8,1.123998607,1,1,1,22.5,22.5,26.924,1.196622222,1.196622222,6113.193477,225,1.63392405
22.5,1,1.760869565,1.123998607,1,1,1,22.5,22.5,27.442,1.219644444,1.219644444,5901.805933,230,1.63392405
22.5,1,1.863636364,1.137875133,1,1,1,22.5,22.5,27.09,1.204,1.204,5868.13416,220,1.63392405
22.5,1,1.782608696,1.137875133,1,1,1,22.5,22.5,27.155,1.206888889,1.206888889,6090.918427,230,1.63392405
22.5,1,2.315789474,1.221134289,1,1,1,22.5,22.5,25.384,1.128177778,1.128177778,6159.958585,190,1.63392405
22.5,1,3.2,1.332146497,1,1,1,22.5,22.5,24.51,1.089333333,1.089333333,5402.138245,150,1.63392405
22.5,1,4.727272727,1.443158705,1,1,1,22.5,22.5,21.93,0.974666667,0.974666667,5530.71346,110,1.63392405
22.5,1,2.260869565,1.443158705,1,1,1,22.5,22.5,25.785,1.146,1.146,7114.277436,230,1.63392405
22.5,1,2.782608696,1.776195329,1,1,1,22.5,22.5,24.51,1.089333333,1.089333333,8283.278642,230,1.63392405
22.5,1,3.304347826,2.109231953,1,1,1,22.5,22.5,23.555,1.046888889,1.046888889,9332.1751,230,1.63392405
22.5,1,1.739130435,1.110122081,1,1,1,22.5,22.5,28.783,1.279244444,1.279244444,5114.745531,230,1.63392405
22.5,1,1.818181818,1.110122081,1,1,1,22.5,22.5,28.326,1.258933333,1.258933333,5133.000387,220,1.63392405
22.5,1,1.777777778,1.110122081,1,1,1,22.5,22.5,28.372,1.260977778,1.260977778,5224.16678,225,1.63392405
22.5,1,1.70212766,1.110122081,1,1,1,22.5,22.5,28.776,1.278933333,1.278933333,5229.750335,235,1.63392405
22.5,1,1.666666667,1.110122081,1,1,1,22.5,22.5,28.688,1.275022222,1.275022222,5390.323047,240,1.63392405
22.5,1,1.695652174,1.082369029,1,1,1,22.5,22.5,28.711,1.276044444,1.276044444,5153.321612,230,1.63392405
22.5,1,1.717391304,1.096245555,1,1,1,22.5,22.5,28.506,1.266933333,1.266933333,5265.302925,230,1.63392405
22.5,1,1.760869565,1.123998607,1,1,1,22.5,22.5,29.326,1.303377778,1.303377778,4835.859939,230,1.63392405
22.5,1,1.782608696,1.137875133,1,1,1,22.5,22.5,28.321,1.258711111,1.258711111,5369.161317,230,1.63392405
22.5,1,2.666666667,1.110122081,1,1,1,22.5,22.5,25.8,1.146666667,1.146666667,4631.658277,150,1.63392405
22.5,1,2.105263158,1.110122081,1,1,1,22.5,22.5,27.195,1.208666667,1.208666667,5009.458465,190,1.63392405
22.5,1,1.481481481,1.110122081,1,1,1,22.5,22.5,30.524,1.356622222,1.356622222,5034.354552,270,1.63392405
22.5,1,1.217391304,0.777085457,1,1,1,22.5,22.5,30.751,1.366711111,1.366711111,4194.25156,230,1.63392405
22.5,1,2.260869565,1.443158705,1,1,1,22.5,22.5,26.364,1.171733333,1.171733333,6655.769845,230,1.63392405
22.5,1,2.782608696,1.776195329,1,1,1,22.5,22.5,25.532,1.134755556,1.134755556,7327.869008,230,1.63392405
22.5,1,3.304347826,2.109231953,1,1,1,22.5,22.5,24.501,1.088933333,1.088933333,8292.410134,230,1.63392405
22.5,1,1.625,1.082369029,1,1,1,22.5,22.5,29.167,1.296311111,1.296311111,5129.090067,240,1.63392405
22.5,1,1.680851064,1.096245555,1,1,1,22.5,22.5,28.698,1.275466667,1.275466667,5272.509089,235,1.63392405
22.5,1,1.8,1.123998607,1,1,1,22.5,22.5,28.434,1.263733333,1.263733333,5190.06754,225,1.63392405
22.5,1,1.863636364,1.137875133,1,1,1,22.5,22.5,28.366,1.260711111,1.260711111,5111.316263,220,1.63392405
22.5,1,3.2,1.332146497,1,1,1,22.5,22.5,24.848,1.104355556,1.104355556,5184.672309,150,1.63392405
22.5,1,4.727272727,1.443158705,1,1,1,22.5,22.5,23.22,1.032,1.032,4659.189854,110,1.63392405
22.5,1,2.315789474,1.221134289,1,1,1,22.5,22.5,27.09,1.204,1.204,5067.934047,190,1.63392405
22.5,1,1.217391304,0.456519817,1,1,1,22.5,22.5,34.9,1.551111111,1.551111111,2869.167638,230,1.73289657
22.5,1,1.333333333,0.58695405,1,1,1,22.5,22.5,33.448,1.486577778,1.486577778,3826.111915,270,1.73289657
22.5,1,1.625,0.635866888,1,1,1,22.5,22.5,31.002,1.377866667,1.377866667,4271.166234,240,1.73289657
22.5,1,2.666666667,0.652171167,1,1,1,22.5,22.5,28.435,1.263777778,1.263777778,3459.679991,150,1.73289657
22.5,1,2.105263158,0.652171167,1,1,1,22.5,22.5,30.451,1.353377778,1.353377778,3568.233709,190,1.73289657
22.5,1,1.739130435,0.652171167,1,1,1,22.5,22.5,31.587,1.403866667,1.403866667,3869.965233,230,1.73289657
22.5,1,1.481481481,0.652171167,1,1,1,22.5,22.5,35.337,1.570533333,1.570533333,3244.734027,270,1.73289657
22.5,1,1.863636364,0.668475446,1,1,1,22.5,22.5,30.525,1.356666667,1.356666667,4101.663533,220,1.73289657
22.5,1,2.315789474,0.717388284,1,1,1,22.5,22.5,29.643,1.317466667,1.317466667,3868.044907,190,1.73289657
22.5,1,3.2,0.782605401,1,1,1,22.5,22.5,27.992,1.244088889,1.244088889,3626.551417,150,1.73289657
22.5,1,2.260869565,0.847822517,1,1,1,22.5,22.5,29.554,1.313511111,1.313511111,4724.799652,230,1.73289657
22.5,1,2.782608696,1.043473867,1,1,1,22.5,22.5,28.206,1.2536,1.2536,5435.102013,230,1.73289657
22.5,1,3.304347826,1.239125218,1,1,1,22.5,22.5,27.69,1.230666667,1.230666667,5744.646871,230,1.73289657
22.5,1,1.666666667,0.251155279,1,1,1,22.5,22.5,26.497,1.177644444,1.177644444,6841.092979,240,1.60899481
22.5,1,1.875,0.282549689,1,1,1,22.5,22.5,25.627,1.138977778,1.138977778,7561.749802,240,1.60899481
22.5,1,1.642857143,0.288828571,1,1,1,22.5,22.5,27.09,1.204,1.204,7468.534385,280,1.60899481
22.5,1,1.96,0.307665217,1,1,1,22.5,22.5,25.959,1.153733333,1.153733333,7578.45196,250,1.60899481
22.5,1,3.571428571,0.313944099,1,1,1,22.5,22.5,23.22,1.032,1.032,5929.877996,140,1.60899481
22.5,1,2.631578947,0.313944099,1,1,1,22.5,22.5,24.235,1.077111111,1.077111111,7078.298891,190,1.60899481
22.5,1,2.040816327,0.313944099,1,1,1,22.5,22.5,25.832,1.148088889,1.148088889,7536.962543,245,1.60899481
22.5,1,1.851851852,0.313944099,1,1,1,22.5,22.5,27.09,1.204,1.204,7201.801014,270,1.60899481
22.5,1,1.666666667,0.313944099,1,1,1,22.5,22.5,27.146,1.206488889,1.206488889,7952.580777,300,1.60899481
22.5,1,1.515151515,0.313944099,1,1,1,22.5,22.5,28.076,1.247822222,1.247822222,7907.015812,330,1.60899481
22.5,1,2.217391304,0.320222981,1,1,1,22.5,22.5,24.519,1.089733333,1.089733333,8274.160552,230,1.60899481
22.5,1,2.894736842,0.345338509,1,1,1,22.5,22.5,24.51,1.089333333,1.089333333,6842.708443,190,1.60899481
22.5,1,2.291666667,0.345338509,1,1,1,22.5,22.5,24.559,1.091511111,1.091511111,8591.788407,240,1.60899481
22.5,1,2.708333333,0.408127329,1,1,1,22.5,22.5,23.821,1.058711111,1.058711111,9415.332096,240,1.60899481
22.5,1,2.916666667,0.439521739,1,1,1,22.5,22.5,23.22,1.032,1.032,10165.50514,240,1.60899481
22.5,1,3.125,0.470916149,1,1,1,22.5,22.5,23.22,1.032,1.032,10165.50514,240,1.60899481
22.5,1,3.333333333,0.502310559,1,1,1,22.5,22.5,23.22,1.032,1.032,10165.50514,240,1.60899481
22.5,1,2.0625,0.310804658,1,1,1,22.5,22.5,26.197,1.164311111,1.164311111,7078.820991,240,1.60899481
22.5,1,2.020408163,0.310804658,1,1,1,22.5,22.5,25.855,1.149111111,1.149111111,7516.866317,245,1.60899481
22.5,1,2.173913043,0.313944099,1,1,1,22.5,22.5,25.8,1.146666667,1.146666667,7101.876025,230,1.60899481
22.5,1,2.127659574,0.313944099,1,1,1,22.5,22.5,25.8,1.146666667,1.146666667,7256.264635,235,1.60899481
22.5,1,2,0.313944099,1,1,1,22.5,22.5,25.37,1.127555556,1.127555556,8118.634232,250,1.60899481
22.5,1,2.104166667,0.31708354,1,1,1,22.5,22.5,25.304,1.124622222,1.124622222,7855.034079,240,1.60899481
22.5,1,2.125,0.320222981,1,1,1,22.5,22.5,25.395,1.128666667,1.128666667,7770.893532,240,1.60899481
22.5,1,1.625,0.244876397,1,1,1,22.5,22.5,26.906,1.195822222,1.195822222,6533.835508,240,1.60899481
22.5,1,1.717391304,0.248015838,1,1,1,22.5,22.5,27.039,1.201733333,1.201733333,6169.647155,230,1.60899481
22.5,1,2.666666667,0.251155279,1,1,1,22.5,22.5,24.51,1.089333333,1.089333333,5402.138245,150,1.60899481
22.5,1,1.818181818,0.251155279,1,1,1,22.5,22.5,26.885,1.194888889,1.194888889,6003.395108,220,1.60899481
22.5,1,1.777777778,0.251155279,1,1,1,22.5,22.5,27.013,1.200577778,1.200577778,6052.968739,225,1.60899481
22.5,1,1.739130435,0.251155279,1,1,1,22.5,22.5,27.09,1.204,1.204,6134.867531,230,1.60899481
22.5,1,1.70212766,0.251155279,1,1,1,22.5,22.5,27.172,1.207644444,1.207644444,6211.656236,235,1.60899481
22.5,1,1.666666667,0.251155279,1,1,1,22.5,22.5,27.423,1.2188,1.2188,6171.215599,240,1.60899481
22.5,1,1.8,0.25429472,1,1,1,22.5,22.5,25.837,1.148311111,1.148311111,6917.682591,225,1.60899481
22.5,1,1.760869565,0.25429472,1,1,1,22.5,22.5,27.045,1.202,1.202,6165.541812,230,1.60899481
22.5,1,1.863636364,0.257434161,1,1,1,22.5,22.5,25.618,1.138577778,1.138577778,6938.912091,220,1.60899481
