orifice_width,aspect_ratio,flow_rate_ratio,capillary_number,normalized_oil_inlet,normalized_water_inlet,expansion_ratio,depth,hyd_d,droplet_size,normalized_size,normalized_hyd_size,generation_rate,q_in,viscosity_ratio
22.5,1,1.782608696,0.257434161,1,1,1,22.5,22.5,26.721,1.1876,1.1876,6392.549263,230,1.60899481
22.5,1,2.315789474,0.276270807,1,1,1,22.5,22.5,24.496,1.088711111,1.088711111,6854.447422,190,1.60899481
22.5,1,2.260869565,0.326501863,1,1,1,22.5,22.5,26.154,1.1624,1.1624,6817.385403,230,1.60899481
22.5,1,2.782608696,0.401848447,1,1,1,22.5,22.5,24.51,1.089333333,1.089333333,8283.278642,230,1.60899481
22.5,1,1.4,0.024132619,1,1,1,22.5,22.5,30.796,1.368711111,1.368711111,4539.013186,250,1.87289611
22.5,1,1.6,0.027580136,1,1,1,22.5,22.5,29.659,1.318177778,1.318177778,5081.300337,250,1.87289611
22.5,1,1.76,0.030338149,1,1,1,22.5,22.5,28.38,1.261333333,1.261333333,5799.722361,250,1.87289611
22.5,1,1.413793103,0.028269639,1,1,1,22.5,22.5,30.96,1.376,1.376,5182.025079,290,1.87289611
22.5,1,1.592592593,0.029648646,1,1,1,22.5,22.5,30.28,1.345777778,1.345777778,5157.040241,270,1.87289611
22.5,1,1.692307692,0.030338149,1,1,1,22.5,22.5,29.356,1.304711111,1.304711111,5449.881754,260,1.87289611
22.5,1,1.78,0.030682901,1,1,1,22.5,22.5,28.38,1.261333333,1.261333333,5799.722361,250,1.87289611
22.5,1,1.745098039,0.030682901,1,1,1,22.5,22.5,29.386,1.306044444,1.306044444,5328.722768,255,1.87289611
22.5,1,2.142857143,0.031027653,1,1,1,22.5,22.5,27.919,1.240844444,1.240844444,5117.102156,210,1.87289611
22.5,1,1.875,0.031027653,1,1,1,22.5,22.5,28.38,1.261333333,1.261333333,5567.733466,240,1.87289611
22.5,1,1.836734694,0.031027653,1,1,1,22.5,22.5,28.448,1.264355556,1.264355556,5643.067369,245,1.87289611
22.5,1,1.8,0.031027653,1,1,1,22.5,22.5,29.185,1.297111111,1.297111111,5332.922647,250,1.87289611
22.5,1,1.764705882,0.031027653,1,1,1,22.5,22.5,28.393,1.261911111,1.261911111,5907.59483,255,1.87289611
22.5,1,1.730769231,0.031027653,1,1,1,22.5,22.5,28.368,1.2608,1.2608,6039.36895,260,1.87289611
22.5,1,1.285714286,0.031027653,1,1,1,22.5,22.5,30.96,1.376,1.376,6254.168199,350,1.87289611
22.5,1,1.125,0.031027653,1,1,1,22.5,22.5,32.298,1.435466667,1.435466667,6295.604967,400,1.87289611
22.5,1,1,0.031027653,1,1,1,22.5,22.5,33.125,1.472222222,1.472222222,6565.219058,450,1.87289611
22.5,1,0.818181818,0.031027653,1,1,1,22.5,22.5,33.54,1.490666667,1.490666667,7729.971332,550,1.87289611
22.5,1,0.692307692,0.031027653,1,1,1,22.5,22.5,36.046,1.602044444,1.602044444,7359.469167,650,1.87289611
22.5,1,1.857142857,0.031372404,1,1,1,22.5,22.5,29.102,1.293422222,1.293422222,5271.108355,245,1.87289611
22.5,1,1.82,0.031372404,1,1,1,22.5,22.5,28.38,1.261333333,1.261333333,5799.722361,250,1.87289611
22.5,1,1.916666667,0.031717156,1,1,1,22.5,22.5,28.589,1.270622222,1.270622222,5446.515154,240,1.87289611
22.5,1,1.84,0.031717156,1,1,1,22.5,22.5,28.351,1.260044444,1.260044444,5817.538034,250,1.87289611
22.5,1,2.181818182,0.033096163,1,1,1,22.5,22.5,28.268,1.256355556,1.256355556,5164.660775,220,1.87289611
22.5,1,2.5,0.03447517,1,1,1,22.5,22.5,27.469,1.220844444,1.220844444,5116.886882,200,1.87289611
22.5,1,2.12,0.03654368,1,1,1,22.5,22.5,28.105,1.249111111,1.249111111,5971.639862,250,1.87289611
22.5,1,2.6,0.044817721,1,1,1,22.5,22.5,27.059,1.202622222,1.202622222,6691.279165,250,1.87289611
22.5,1,3,0.051712755,1,1,1,22.5,22.5,26.481,1.176933333,1.176933333,7139.06331,250,1.87289611
22.5,1,3.4,0.058607789,1,1,1,22.5,22.5,25.662,1.140533333,1.140533333,7844.637422,250,1.87289611
22.5,1,1.413793103,0.028269639,1,1,1,22.5,22.5,30.96,1.376,1.376,5182.025079,290,1.87289611
22.5,1,1.592592593,0.029648646,1,1,1,22.5,22.5,30.28,1.345777778,1.345777778,5157.040241,270,1.87289611
22.5,1,2.5,0.03447517,1,1,1,22.5,22.5,27.469,1.220844444,1.220844444,5116.886882,200,1.87289611
22.5,1,1.25,0.019080223,1,1,1,22.5,22.5,35.55,1.58,1.58,2360.562747,200,1.66890774
22.5,1,1.5,0.022896268,1,1,1,22.5,22.5,32.798,1.457688889,1.457688889,3006.022865,200,1.66890774
22.5,1,0.857142857,0.022896268,1,1,1,22.5,22.5,35.636,1.583822222,1.583822222,4101.149133,350,1.66890774
22.5,1,1.75,0.026712313,1,1,1,22.5,22.5,32.124,1.427733333,1.427733333,3199.23036,200,1.66890774
22.5,1,1.166666667,0.026712313,1,1,1,22.5,22.5,33.192,1.4752,1.4752,4350.361611,300,1.66890774
22.5,1,2,0.030528357,1,1,1,22.5,22.5,30.935,1.374888889,1.374888889,3582.481886,200,1.66890774
22.5,1,1.6,0.030528357,1,1,1,22.5,22.5,30.866,1.371822222,1.371822222,4508.201526,250,1.66890774
22.5,1,2.2,0.033581193,1,1,1,22.5,22.5,29.528,1.312355556,1.312355556,4119.383904,200,1.66890774
22.5,1,2.095238095,0.033581193,1,1,1,22.5,22.5,29.146,1.295377778,1.295377778,4497.661654,210,1.66890774
22.5,1,2.225,0.033962797,1,1,1,22.5,22.5,29.186,1.297155556,1.297155556,4265.8996,200,1.66890774
22.5,1,2.170731707,0.033962797,1,1,1,22.5,22.5,29.774,1.323288889,1.323288889,4118.572142,205,1.66890774
22.5,1,3,0.034344402,1,1,1,22.5,22.5,28.051,1.246711111,1.246711111,3603.716208,150,1.66890774
22.5,1,2.368421053,0.034344402,1,1,1,22.5,22.5,28.989,1.2884,1.2884,4135.787981,190,1.66890774
22.5,1,2.307692308,0.034344402,1,1,1,22.5,22.5,29.427,1.307866667,1.307866667,4057.896934,195,1.66890774
22.5,1,2.25,0.034344402,1,1,1,22.5,22.5,29.464,1.309511111,1.309511111,4146.285918,200,1.66890774
22.5,1,2.195121951,0.034344402,1,1,1,22.5,22.5,29.419,1.307511111,1.307511111,4269.475354,205,1.66890774
22.5,1,2.142857143,0.034344402,1,1,1,22.5,22.5,29.658,1.318133333,1.318133333,4268.724049,210,1.66890774
22.5,1,1.8,0.034344402,1,1,1,22.5,22.5,30.54,1.357333333,1.357333333,4654.11681,250,1.66890774
22.5,1,1.5,0.034344402,1,1,1,22.5,22.5,31.149,1.3844,1.3844,5263.726277,300,1.66890774
22.5,1,1.285714286,0.034344402,1,1,1,22.5,22.5,32.598,1.4488,1.4488,5357.960983,350,1.66890774
22.5,1,2.333333333,0.034726006,1,1,1,22.5,22.5,29.61,1.316,1.316,3983.123367,195,1.66890774
22.5,1,2.275,0.034726006,1,1,1,22.5,22.5,29.406,1.306933333,1.306933333,4170.868577,200,1.66890774
22.5,1,2.421052632,0.035107611,1,1,1,22.5,22.5,27.935,1.241555556,1.241555556,4621.808452,190,1.66890774
22.5,1,2.3,0.035107611,1,1,1,22.5,22.5,29.035,1.290444444,1.290444444,4332.802299,200,1.66890774
22.5,1,3,0.045792536,1,1,1,22.5,22.5,28.534,1.268177778,1.268177778,4565.058986,200,1.66890774
22.5,1,3.5,0.053424625,1,1,1,22.5,22.5,27.849,1.237733333,1.237733333,4910.271984,200,1.66890774
22.5,1,4,0.061056714,1,1,1,22.5,22.5,26.542,1.179644444,1.179644444,5671.96353,200,1.66890774
22.5,1,4.5,0.068688804,1,1,1,22.5,22.5,25.405,1.129111111,1.129111111,6468.100608,200,1.66890774
22.5,1,5,0.076320893,1,1,1,22.5,22.5,24.944,1.108622222,1.108622222,6833.387843,200,1.66890774
22.5,1,6,0.091585072,1,1,1,22.5,22.5,24.177,1.074533333,1.074533333,7504.592807,200,1.66890774
22.5,1,1.75,0.672153635,1,1,1,22.5,22.5,27.208,1.209244444,1.209244444,5265.559293,200,0.47027106
22.5,1,1.85,0.710562414,1,1,1,22.5,22.5,27.039,1.201733333,1.201733333,5364.91057,200,0.47027106
22.5,1,1.857142857,0.748971193,1,1,1,22.5,22.5,26.984,1.199288889,1.199288889,5667.671609,210,0.47027106
22.5,1,1.926829268,0.758573388,1,1,1,22.5,22.5,27.052,1.202311111,1.202311111,5491.109363,205,0.47027106
22.5,1,2.666666667,0.768175583,1,1,1,22.5,22.5,25.626,1.138933333,1.138933333,4726.646925,150,0.47027106
22.5,1,2.222222222,0.768175583,1,1,1,22.5,22.5,25.792,1.146311111,1.146311111,5563.163364,180,0.47027106
22.5,1,2.105263158,0.768175583,1,1,1,22.5,22.5,25.8,1.146666667,1.146666667,5866.767151,190,0.47027106
22.5,1,2,0.768175583,1,1,1,22.5,22.5,27.019,1.200844444,1.200844444,5376.83303,200,0.47027106
22.5,1,1.818181818,0.768175583,1,1,1,22.5,22.5,27.071,1.203155556,1.203155556,5880.498626,220,0.47027106
22.5,1,2.076923077,0.777777778,1,1,1,22.5,22.5,25.809,1.147066667,1.147066667,6014.858945,195,0.47027106
22.5,1,2.025,0.777777778,1,1,1,22.5,22.5,26.937,1.1972,1.1972,5426.086158,200,0.47027106
22.5,1,2.157894737,0.787379973,1,1,1,22.5,22.5,25.846,1.148711111,1.148711111,5835.498336,190,0.47027106
22.5,1,2.05,0.787379973,1,1,1,22.5,22.5,26.564,1.180622222,1.180622222,5657.882833,200,0.47027106
22.5,1,2.529411765,0.825788752,1,1,1,22.5,22.5,25.694,1.141955556,1.141955556,5314.447616,170,0.47027106
22.5,1,3,0.864197531,1,1,1,22.5,22.5,24.702,1.097866667,1.097866667,5277.148014,150,0.47027106
22.5,1,2.5,0.960219479,1,1,1,22.5,22.5,25.8,1.146666667,1.146666667,6175.54437,200,0.47027106
22.5,1,2.75,1.056241427,1,1,1,22.5,22.5,24.51,1.089333333,1.089333333,7202.850993,200,0.47027106
22.5,1,3,1.152263374,1,1,1,22.5,22.5,24.499,1.088844444,1.088844444,7212.557545,200,0.47027106
22.5,1,3.75,1.440329218,1,1,1,22.5,22.5,23.611,1.049377778,1.049377778,8057.331289,200,0.47027106
22.5,1,4.25,1.632373114,1,1,1,22.5,22.5,23.091,1.026266667,1.026266667,8614.025249,200,0.47027106
22.5,1,4.75,1.82441701,1,1,1,22.5,22.5,21.875,0.972222222,0.972222222,10131.88331,200,0.47027106
22.5,1,5.25,2.016460905,1,1,1,22.5,22.5,21.363,0.949466667,0.949466667,10877.96464,200,0.47027106
22.5,1,6,2.304526749,1,1,1,22.5,22.5,20.807,0.924755556,0.924755556,11773.51016,200,0.47027106
22.5,1,1.975,0.758573388,1,1,1,22.5,22.5,25.968,1.154133333,1.154133333,6056.46005,200,0.47027106
22.5,1,7,1.942713641,1,1,1,22.5,22.5,22.42,0.996444444,0.996444444,4705.410788,100,1.63392405
22.5,1,6,1.665183121,1,1,1,22.5,22.5,22.91,1.018222222,1.018222222,4409.903652,100,1.63392405
22.5,1,4,1.110122081,1,1,1,22.5,22.5,24.78,1.101333333,1.101333333,3484.981384,100,1.63392405
22.5,1,1.818181818,1.110122081,1,1,1,22.5,22.5,27.73,1.232444444,1.232444444,5471.135121,220,1.63392405
22.5,1,1.454545455,0.888097665,1,1,1,22.5,22.5,29.87,1.327555556,1.327555556,4377.451889,220,1.63392405
22.5,1,1.217391304,0.777085457,1,1,1,22.5,22.5,30.93,1.374666667,1.374666667,4121.852482,230,1.63392405
30,1,4.333333333,1.014720964,1,1,1,30,30,31.6935,1.05645,1.05645,2498.532605,150,1.63392405
30,1,3,0.702499129,1,1,1,30,30,32.8207,1.094023333,1.094023333,2249.842463,150,1.63392405
30,1,2.333333333,0.546388212,1,1,1,30,30,33.6912,1.12304,1.12304,2079.91788,150,1.63392405
30,1,1.285714286,0.702499129,1,1,1,30,30,38.7865,1.292883333,1.292883333,3180.758071,350,1.63392405
30,1,1,0.546388212,1,1,1,30,30,42.0904,1.403013333,1.403013333,2488.990585,350,1.63392405
15,1,6,1.873331011,1,1,1,15,15,15.5726,1.038173333,1.038173333,7020.870908,50,1.63392405
15,1,4.923076923,1.998219745,1,1,1,15,15,15.6527,1.043513333,1.043513333,8987.728407,65,1.63392405
15,1,3.333333333,1.561109176,1,1,1,15,15,16.7167,1.114446667,1.114446667,8513.614595,75,1.63392405
15,1,2.5,1.561109176,1,1,1,15,15,17.5137,1.16758,1.16758,9871.215882,100,1.63392405
15,1,2,1.248887341,1,1,1,15,15,18.5377,1.235846667,1.235846667,8324.09101,100,1.63392405
15,1,2.5,1.404998258,1,1,1,15,15,18.8039,1.253593333,1.253593333,7177.993806,90,1.63392405
125,3,2,0.1188,3,2,3,375,187.5,245.1,1.9608,1.3072,31.65,876.2019231,57.2
175,1.5,2,0.067885714,3,3.5,2,262.5,210,242.86,1.387771429,1.15647619,18.22,490.6730769,57.2
125,2.5,2,0.0515625,2.5,4,2,312.5,178.5714286,242.42,1.93936,1.357552,11.83,316.9133113,57.2
150,2,2,0.060342857,4,2.5,2,300,200,225.65,1.504333333,1.12825,19.78,427.2527473,57.2
150,2,2,0.120685714,4,2.5,2,300,200,214.34,1.428933333,1.0717,46.15,854.5054945,57.2
100,3,2,0.044916667,3.5,3,2,300,150,211.71,2.1171,1.4114,11.88,212.0192308,57.2
125,3,6,0.0594,3,2,3,375,187.5,211.71,1.69368,1.12912,8.19,146.0336538,57.2
175,3,13,0.0704,2,2.5,5,525,262.5,207.04,1.183085714,0.78872381,9.38,156.5680473,57.2
100,2.5,2,0.09504,3,2.5,6,250,142.8571429,204.9,2.049,1.4343,23.11,373.8461538,57.2
125,2,2,0.025142857,2,3.5,6,250,166.6666667,204.13,1.63304,1.22478,7.73,123.6263736,57.2
175,1,2,0.034375,2.5,3,6,175,175,201.75,1.152857143,1.152857143,10.73,165.640024,57.2
175,3,10,0.0704,2,2.5,5,525,262.5,200.65,1.146571429,0.764380952,13.4,203.5384615,57.2
175,2,6,0.067375,3.5,4,3,350,233.3333333,197.22,1.126971429,0.845228571,15.01,216.4362981,57.2
100,3,2,0.089833333,3.5,3,2,300,150,196.24,1.9624,1.308266667,29.85,424.0384615,57.2
175,3,22,0.0704,2,2.5,5,525,262.5,195.29,1.115942857,0.743961905,6.61,92.51748252,57.2
125,2,2,0.050285714,2,3.5,6,250,166.6666667,192.9,1.5432,1.1574,18.32,247.2527473,57.2
175,1,2,0.06875,2.5,3,6,175,175,189.99,1.085657143,1.085657143,25.69,331.2800481,57.2
150,3,8,0.044508973,2.49,3.5,4.01,450,225,189.54,1.2636,0.8424,9.23,118.1783276,57.2
175,3,16,0.0704,2,2.5,5,525,262.5,189.22,1.081257143,0.720838095,9.99,127.2115385,57.2
175,2.5,6,0.150857143,4,2,4,437.5,250,188.07,1.074685714,0.75228,48.43,605.7692308,57.2
125,1.5,2,0.050285714,4,3,5,187.5,150,187.64,1.50112,1.250933333,14.93,185.4395604,57.2
150,1,2,0.0594,3,4,5,150,150,185.1,1.234,1.234,17.64,210.2884615,57.2
150,1.5,2,0.067375,3.5,2,6,225,180,183.44,1.222933333,1.019111111,30.83,357.7824519,57.2
125,3,10,0.0594,3,2,3,375,187.5,182.39,1.45912,0.972746667,7.68,87.62019231,57.2
100,2.5,6,0.04752,3,2.5,6,250,142.8571429,181.57,1.8157,1.27099,5.54,62.30769231,57.2
150,3,19,0.058928571,2.5,3.5,4,450,225,181.52,1.210133333,0.806755556,5.86,65.87984384,57.2
175,3,13,0.1408,2,2.5,5,525,262.5,180.12,1.029257143,0.686171429,28.5,313.1360947,57.2
150,1,2,0.0297,3,4,5,150,150,179.91,1.1994,1.1994,9.6,105.1442308,57.2
175,3,10,0.1408,2,2.5,5,525,262.5,178.35,1.019142857,0.679428571,38.16,407.0769231,57.2
125,2.5,6,0.0515625,2.5,4,2,312.5,178.5714286,176.76,1.41408,0.989856,10.17,105.6377704,57.2
150,2.5,6,0.058666667,2,3,3,375,214.2857143,172.59,1.1506,0.80542,17.91,173.0769231,57.2
100,3,6,0.044916667,3.5,3,2,300,150,170.24,1.7024,1.134933333,7.62,70.67307692,57.2
125,3,6,0.1188,3,2,3,375,187.5,169.98,1.35984,0.90656,31.63,292.0673077,57.2
175,2.5,19,0.075428571,4,2,4,437.5,250,168.2,0.961142857,0.6728,10.69,95.64777328,57.2
175,2.5,10,0.150857143,4,2,4,437.5,250,167.69,0.958228571,0.67076,40.99,363.4615385,57.2
