Experiment,Orifice width (um),Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary number,Observed generation rate (Hz),Observed droplet diameter (um),Observed regime (1= Dripping & 2 = Jetting),,,,,,,,,,
1,125.00,3.00,3.00,2.50,2.00,3.00,2.00,0.066,31.65,245.10,1.00,,,,,,,,,,
2,175.00,1.50,2.00,3.00,3.50,3.00,2.00,0.066,18.22,242.86,1.00,,,,,,,,,,
3,125.00,2.50,2.00,2.00,4.00,2.50,2.00,0.066,11.83,242.42,1.00,,,,,,,,,,
4,150.00,2.00,2.00,2.50,2.50,4.00,2.00,0.033,19.78,225.65,1.00,,,,,,,,,,
5,150.00,2.00,2.00,2.50,2.50,4.00,2.00,0.066,46.15,214.34,1.00,,,,,,,,,,
6,100.00,3.00,2.00,1.50,3.00,3.50,2.00,0.033,11.88,211.71,1.00,,,,,,,,,,
7,125.00,3.00,3.00,2.50,2.00,3.00,6.00,0.033,8.19,211.71,1.00,,,,,,,,,,
8,175.00,3.00,5.00,2.00,2.50,2.00,13.00,0.066,9.38,207.04,1.00,,,,,,,,,,
9,100.00,2.50,6.00,1.00,2.50,3.00,2.00,0.066,23.11,204.90,1.00,,,,,,,,,,
10,125.00,2.00,6.00,1.50,3.50,2.00,2.00,0.033,7.73,204.13,1.00,,,,,,,,,,
11,175.00,1.00,6.00,2.50,3.00,2.50,2.00,0.033,10.73,201.75,1.00,,,,,,,,,,
12,175.00,3.00,5.00,2.00,2.50,2.00,10.00,0.066,13.40,200.65,1.00,,,,,,,,,,
13,175.00,2.00,3.00,1.00,4.00,3.50,6.00,0.066,15.01,197.22,1.00,,,,,,,,,,
14,100.00,3.00,2.00,1.50,3.00,3.50,2.00,0.066,29.85,196.24,1.00,,,,,,,,,,
15,175.00,3.00,5.00,2.00,2.50,2.00,22.00,0.066,6.61,195.29,1.00,,,,,,,,,,
16,125.00,2.00,6.00,1.50,3.50,2.00,2.00,0.066,18.32,192.90,1.00,,,,,,,,,,
17,175.00,1.00,6.00,2.50,3.00,2.50,2.00,0.066,25.69,189.99,1.00,,,,,,,,,,
18,150.00,3.00,4.01,1.00,3.50,2.49,8.00,0.050,9.23,189.54,1.00,,,,,,,,,,
19,175.00,3.00,5.00,2.00,2.50,2.00,16.00,0.066,9.99,189.22,1.00,,,,,,,,,,
20,175.00,2.50,4.00,1.50,2.00,4.00,6.00,0.066,48.43,188.07,1.00,,,,,,,,,,
21,125.00,1.50,5.00,1.00,3.00,4.00,2.00,0.033,14.93,187.64,1.00,,,,,,,,,,
22,150.00,1.00,5.00,1.50,4.00,3.00,2.00,0.066,17.64,185.10,1.00,,,,,,,,,,
23,150.00,1.50,6.00,2.00,2.00,3.50,2.00,0.033,30.83,183.44,1.00,,,,,,,,,,
24,125.00,3.00,3.00,2.50,2.00,3.00,10.00,0.033,7.68,182.39,1.00,,,,,,,,,,
25,100.00,2.50,6.00,1.00,2.50,3.00,6.00,0.033,5.54,181.57,1.00,,,,,,,,,,
26,150.00,3.00,4.00,1.00,3.50,2.50,19.00,0.066,5.86,181.52,1.00,,,,,,,,,,
27,175.00,3.00,5.00,2.00,2.50,2.00,13.00,0.132,28.50,180.12,1.00,,,,,,,,,,
28,150.00,1.00,5.00,1.50,4.00,3.00,2.00,0.033,9.60,179.91,1.00,,,,,,,,,,
29,175.00,3.00,5.00,2.00,2.50,2.00,10.00,0.132,38.16,178.35,1.00,,,,,,,,,,
30,125.00,2.50,2.00,2.00,4.00,2.50,6.00,0.066,10.17,176.76,1.00,,,,,,,,,,
31,150.00,2.50,3.00,3.00,3.00,2.00,6.00,0.066,17.91,172.59,1.00,,,,,,,,,,
32,100.00,3.00,2.00,1.50,3.00,3.50,6.00,0.033,7.62,170.24,1.00,,,,,,,,,,
33,125.00,3.00,3.00,2.50,2.00,3.00,6.00,0.066,31.63,169.98,1.00,,,,,,,,,,
34,175.00,2.50,4.00,1.50,2.00,4.00,19.00,0.033,10.69,168.20,1.00,,,,,,,,,,
35,175.00,2.50,4.00,1.50,2.00,4.00,10.00,0.066,40.99,167.69,1.00,,,,,,,,,,
36,175.00,2.50,4.00,1.50,2.00,4.00,10.00,0.033,20.53,167.60,1.00,,,,,,,,,,
37,150.00,1.50,6.00,2.00,2.00,3.50,2.00,0.066,81.66,167.04,1.00,,,,,,,,,,
38,125.00,1.50,5.00,1.00,3.00,4.00,2.00,0.066,43.43,165.60,1.00,,,,,,,,,,
39,150.00,3.00,4.01,1.00,3.50,2.49,8.00,0.100,27.83,165.28,1.00,,,,,,,,,,
40,175.00,2.50,4.00,1.50,2.00,4.00,22.00,0.033,9.78,165.01,1.00,,,,,,,,,,
41,150.00,3.00,4.00,1.00,3.50,2.50,10.00,0.066,14.90,164.72,1.00,,,,,,,,,,
42,175.00,2.00,3.00,1.00,4.00,3.50,10.00,0.132,31.02,164.53,1.00,,,,,,,,,,
