Experiment,Orifice width,Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary corrected,,Rate,Size,regime,,Monodispersity,,,,,
23,75.00,1.00,2.00,1.00,2.00,2.00,22.00,0.264,,475.45,31.64,1.00,,2.07,,,,,
24,75.00,1.00,2.00,1.00,2.00,2.00,22.00,0.529,,497.65,39.27,2.00,,2.62,,,,,
25,75.00,1.00,2.00,1.00,2.00,2.00,22.00,1.058,,697.52,44.21,2.00,,0.65,,,,,
26,75.00,1.50,3.00,1.50,2.50,2.50,10.00,0.066,,45.76,63.38,1.00,,1.90,,,,,
27,75.00,1.50,3.00,1.50,2.50,2.50,10.00,0.132,,115.77,58.60,1.00,,3.52,,,,,
28,75.00,1.50,3.00,1.50,2.50,2.50,10.00,0.264,,123.99,72.17,2.00,,2.43,,,,,
29,75.00,1.50,3.00,1.50,2.50,2.50,10.00,0.529,,205.96,76.78,2.00,,2.86,,,,,
30,75.00,1.50,3.00,1.50,2.50,2.50,10.00,1.058,,445.04,74.82,2.00,,3.46,,,,,
31,75.00,1.50,3.00,1.50,2.50,2.50,13.00,0.066,,46.40,57.80,1.00,,1.61,,,,,
32,75.00,1.50,3.00,1.50,2.50,2.50,13.00,0.132,,123.91,52.49,1.00,,4.17,,,,,
33,75.00,1.50,3.00,1.50,2.50,2.50,13.00,0.264,,126.76,65.64,2.00,,2.12,,,,,
34,75.00,1.50,3.00,1.50,2.50,2.50,13.00,0.529,,243.13,66.56,2.00,,2.29,,,,,
35,75.00,1.50,3.00,1.50,2.50,2.50,13.00,1.058,,444.15,68.60,2.00,,8.55,,,,,
36,75.00,1.50,3.00,1.50,2.50,2.50,16.00,0.066,,48.78,53.05,1.00,,2.77,,,,,
37,75.00,1.50,3.00,1.50,2.50,2.50,16.00,0.132,,161.40,44.85,1.00,,2.19,,,,,
38,75.00,1.50,3.00,1.50,2.50,2.50,16.00,0.264,,132.80,60.31,2.00,,1.20,,,,,
39,75.00,1.50,3.00,1.50,2.50,2.50,16.00,0.529,,230.23,63.25,2.00,,1.95,,,,,
40,75.00,1.50,3.00,1.50,2.50,2.50,16.00,1.058,,451.61,63.66,2.00,,10.52,,,,,
41,75.00,1.50,3.00,1.50,2.50,2.50,19.00,0.066,,53.34,48.62,1.00,,1.67,,,,,
42,75.00,1.50,3.00,1.50,2.50,2.50,19.00,0.132,,102.01,49.35,2.00,,2.05,,,,,
43,75.00,1.50,3.00,1.50,2.50,2.50,19.00,0.264,,156.25,53.94,2.00,,0.89,,,,,
44,75.00,1.50,3.00,1.50,2.50,2.50,19.00,0.529,,256.02,57.65,2.00,,3.30,,,,,
45,75.00,1.50,3.00,1.50,2.50,2.50,19.00,1.058,,497.31,58.21,2.00,,6.08,,,,,
46,75.00,1.50,3.00,1.50,2.50,2.50,22.00,0.066,,64.06,43.56,1.00,,3.42,,,,,
47,75.00,1.50,3.00,1.50,2.50,2.50,22.00,0.132,,95.84,47.99,2.00,,2.04,,,,,
48,75.00,1.50,3.00,1.50,2.50,2.50,22.00,0.264,,145.16,52.65,2.00,,1.17,,,,,
49,75.00,1.50,3.00,1.50,2.50,2.50,22.00,0.529,,267.61,54.10,2.00,,4.39,,,,,
50,75.00,1.50,3.00,1.50,2.50,2.50,22.00,1.058,,533.87,54.14,2.00,,4.67,,,,,
51,75.00,2.00,4.00,2.00,3.00,3.00,10.00,0.066,,30.87,78.46,1.00,,1.27,,,,,
52,75.00,2.00,4.00,2.00,3.00,3.00,10.00,0.132,,115.93,63.60,1.00,,1.56,,,,,
53,75.00,2.00,4.00,2.00,3.00,3.00,10.00,0.264,,60.30,99.64,2.00,,4.70,,,,,
54,75.00,2.00,4.00,2.00,3.00,3.00,10.00,0.529,,123.07,98.97,2.00,,5.84,,,,,
55,75.00,2.00,4.00,2.00,3.00,3.00,10.00,1.058,,241.94,99.54,2.00,,1.54,,,,,
56,75.00,2.00,4.00,2.00,3.00,3.00,13.00,0.066,,29.47,73.01,1.00,,1.04,,,,,
57,75.00,2.00,4.00,2.00,3.00,3.00,13.00,0.132,,125.75,56.72,1.00,,1.00,,,,,
58,75.00,2.00,4.00,2.00,3.00,3.00,13.00,0.264,,77.49,83.97,2.00,,0.49,,,,,
59,75.00,2.00,4.00,2.00,3.00,3.00,13.00,0.529,,122.47,90.83,2.00,,4.82,,,,,
60,75.00,2.00,4.00,2.00,3.00,3.00,13.00,1.058,,228.49,92.96,2.00,,1.90,,,,,
61,75.00,2.00,4.00,2.00,3.00,3.00,16.00,0.066,,36.85,63.24,1.00,,1.42,,,,,
