Experiment,Orifice width,Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary number,Diameter
1,125.00,3.00,3.00,2.50,2.00,3.00,2.00,0.066,245.10
2,175.00,1.50,2.00,3.00,3.50,3.00,2.00,0.066,242.86
3,125.00,2.50,2.00,2.00,4.00,2.50,2.00,0.066,242.42
4,150.00,2.00,2.00,2.50,2.50,4.00,2.00,0.033,225.65
5,150.00,2.00,2.00,2.50,2.50,4.00,2.00,0.066,214.34
6,100.00,3.00,2.00,1.50,3.00,3.50,2.00,0.033,211.71
7,125.00,3.00,3.00,2.50,2.00,3.00,6.00,0.033,211.71
8,175.00,3.00,5.00,2.00,2.50,2.00,13.00,0.066,207.04
9,100.00,2.50,6.00,1.00,2.50,3.00,2.00,0.066,204.90
10,125.00,2.00,6.00,1.50,3.50,2.00,2.00,0.033,204.13
11,175.00,1.00,6.00,2.50,3.00,2.50,2.00,0.033,201.75
12,175.00,3.00,5.00,2.00,2.50,2.00,10.00,0.066,200.65
13,175.00,2.00,3.00,1.00,4.00,3.50,6.00,0.066,197.22
14,100.00,3.00,2.00,1.50,3.00,3.50,2.00,0.066,196.24
15,175.00,3.00,5.00,2.00,2.50,2.00,22.00,0.066,195.29
16,125.00,2.00,6.00,1.50,3.50,2.00,2.00,0.066,192.90
17,175.00,1.00,6.00,2.50,3.00,2.50,2.00,0.066,189.99
18,150.00,3.00,4.01,1.00,3.50,2.49,8.00,0.050,189.54
19,175.00,3.00,5.00,2.00,2.50,2.00,16.00,0.066,189.22
20,175.00,2.50,4.00,1.50,2.00,4.00,6.00,0.066,188.07
