Experiment,Orifice width (um),Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary number,Observed generation rate (Hz),Observed droplet diameter (um),Observed regime (1= Dripping & 2 = Jetting),,,,,,,,,,
18,175.00,2.50,4.00,1.50,2.00,4.00,13.00,1.058,241.77,214.30,2.00,,,,,,,,,,
19,175.00,3.00,5.00,2.00,2.50,2.00,19.00,0.529,46.61,213.85,2.00,,,,,,,,,,
20,175.00,2.50,4.00,1.50,2.00,4.00,16.00,0.264,49.56,213.65,2.00,,,,,,,,,,
21,150.00,3.00,4.00,1.00,3.50,2.50,10.00,0.264,27.82,212.34,2.00,,,,,,,,,,
22,175.00,2.50,4.00,1.50,2.00,4.00,16.00,0.529,101.41,212.02,2.00,,,,,,,,,,
23,175.00,3.00,5.00,2.00,2.50,2.00,22.00,0.529,41.38,211.89,2.00,,,,,,,,,,
24,175.00,2.50,4.00,1.50,2.00,4.00,13.00,0.132,31.59,211.15,2.00,,,,,,,,,,
25,175.00,2.50,4.00,1.50,2.00,4.00,13.00,0.264,65.01,209.15,2.00,,,,,,,,,,
26,150.00,1.50,6.00,2.00,2.00,3.50,10.00,0.264,34.30,207.05,2.00,,,,,,,,,,
27,175.00,2.00,3.00,1.00,4.00,3.50,10.00,0.264,31.36,206.54,2.00,,,,,,,,,,
28,150.00,3.00,4.00,1.00,3.50,2.50,13.00,0.264,24.98,201.65,2.00,,,,,,,,,,
29,175.00,1.00,5.96,2.50,3.02,2.49,10.41,1.058,65.37,201.63,2.00,,,,,,,,,,
30,175.00,2.51,4.03,1.44,2.00,3.94,13.00,0.260,71.45,200.80,2.00,,,,,,,,,,
31,175.00,2.51,4.03,1.44,2.00,3.94,12.62,0.078,22.02,200.50,2.00,,,,,,,,,,
32,175.00,1.00,6.00,2.50,3.00,2.50,10.00,1.058,70.85,199.65,2.00,,,,,,,,,,
33,150.00,1.50,6.00,2.00,2.00,3.50,10.00,0.529,77.97,198.41,2.00,,,,,,,,,,
34,175.00,2.50,4.00,1.50,2.00,4.00,16.00,1.058,247.82,198.32,2.00,,,,,,,,,,
35,175.00,2.51,4.03,1.44,2.00,3.94,14.00,0.150,39.87,198.08,2.00,,,,,,,,,,
36,150.00,3.00,4.00,1.00,3.50,2.50,13.00,1.058,105.97,197.75,2.00,,,,,,,,,,
37,175.00,2.51,4.03,1.44,2.00,3.94,14.00,0.050,13.46,197.24,2.00,,,,,,,,,,
38,175.00,2.51,4.03,1.44,2.00,3.94,14.00,0.200,53.87,197.21,2.00,,,,,,,,,,
39,125.00,2.00,6.00,1.50,3.50,2.00,10.00,0.529,28.02,195.81,2.00,,,,,,,,,,
40,175.00,3.00,5.00,2.00,2.50,2.00,19.00,0.264,31.19,194.05,2.00,,,,,,,,,,
41,125.00,2.00,6.00,1.50,3.50,2.00,10.00,0.264,14.46,193.78,2.00,,,,,,,,,,
42,150.00,3.00,4.00,1.00,3.50,2.50,13.00,0.529,57.91,191.97,2.00,,,,,,,,,,
43,150.00,3.00,4.00,1.00,3.50,2.50,16.00,1.058,94.34,191.81,2.00,,,,,,,,,,
44,175.00,2.51,4.03,1.44,2.00,3.94,14.00,0.100,29.29,191.78,2.00,,,,,,,,,,
45,150.00,1.50,6.00,2.00,2.00,3.50,10.00,1.058,175.40,190.78,2.00,,,,,,,,,,
46,175.00,2.50,4.00,1.50,2.00,4.00,19.00,1.058,238.06,189.81,2.00,,,,,,,,,,
47,175.00,1.00,6.00,2.50,3.00,2.50,10.00,0.529,42.49,187.91,2.00,,,,,,,,,,
48,150.00,3.00,4.01,1.00,3.50,2.49,12.95,0.128,15.04,187.58,2.00,,,,,,,,,,
49,175.00,3.00,5.00,2.00,2.50,2.00,22.00,0.264,29.85,187.52,2.00,,,,,,,,,,
50,150.00,1.50,6.00,2.00,2.00,3.50,13.00,0.264,35.55,187.48,2.00,,,,,,,,,,
51,175.00,2.00,3.00,1.00,4.00,3.50,10.00,0.529,84.47,187.02,2.00,,,,,,,,,,
52,175.00,2.50,4.00,1.50,2.00,4.00,16.00,0.132,36.96,186.99,2.00,,,,,,,,,,
53,150.00,3.00,4.00,1.00,3.50,2.50,19.00,1.058,86.52,186.43,2.00,,,,,,,,,,
54,175.00,2.50,4.00,1.50,2.00,4.00,19.00,0.529,126.09,186.20,2.00,,,,,,,,,,
55,150.00,3.00,4.01,1.00,3.50,2.49,13.00,0.260,31.17,186.14,2.00,,,,,,,,,,
56,175.00,2.00,3.00,1.00,4.00,3.50,10.00,1.058,171.70,186.02,2.00,,,,,,,,,,
57,150.00,3.00,4.00,1.00,3.50,2.50,16.00,0.529,51.85,185.86,2.00,,,,,,,,,,
58,150.00,1.50,6.00,2.00,2.00,3.50,13.00,0.529,74.50,184.57,2.00,,,,,,,,,,
59,150.00,3.00,4.01,1.00,3.50,2.49,14.00,0.150,17.19,184.36,2.00,,,,,,,,,,
60,150.00,1.50,6.00,2.00,2.00,3.50,13.00,0.132,18.97,183.44,2.00,,,,,,,,,,
61,150.00,2.50,3.00,3.00,3.00,2.00,10.00,0.264,36.10,182.91,2.00,,,,,,,,,,
62,150.00,3.00,4.01,1.00,3.50,2.49,14.00,0.200,23.63,182.51,2.00,,,,,,,,,,
63,150.00,2.50,3.00,3.00,3.00,2.00,10.00,1.058,146.98,181.84,2.00,,,,,,,,,,
64,175.00,2.00,3.00,1.00,4.00,3.50,13.00,0.264,35.67,181.29,2.00,,,,,,,,,,
65,175.00,2.50,4.00,1.50,2.00,4.00,19.00,0.264,70.27,179.58,2.00,,,,,,,,,,
66,175.00,2.50,4.00,1.50,2.00,4.00,22.00,1.058,247.31,178.47,2.00,,,,,,,,,,
67,175.00,2.00,3.00,1.00,4.00,3.50,13.00,1.058,158.71,174.97,2.00,,,,,,,,,,
68,175.00,1.00,6.00,2.50,3.00,2.50,13.00,1.058,82.94,173.57,2.00,,,,,,,,,,
69,175.00,2.51,4.03,1.44,2.00,3.94,20.00,0.200,55.68,173.18,2.00,,,,,,,,,,
70,175.00,2.00,3.00,1.00,4.00,3.50,16.00,0.264,33.27,173.15,2.00,,,,,,,,,,
71,150.00,2.50,3.00,3.00,3.00,2.00,10.00,0.529,85.41,172.96,2.00,,,,,,,,,,
72,150.00,1.50,6.00,2.00,2.00,3.50,19.00,0.132,15.67,172.29,2.00,,,,,,,,,,
73,175.00,2.50,4.00,1.50,2.00,4.00,22.00,0.264,69.17,171.92,2.00,,,,,,,,,,
74,150.00,3.00,4.00,1.00,3.50,2.50,22.00,1.058,96.17,171.39,2.00,,,,,,,,,,
75,175.00,2.51,4.03,1.44,2.00,3.94,20.00,0.150,43.10,171.37,2.00,,,,,,,,,,
76,150.00,3.00,4.00,1.00,3.50,2.50,19.00,0.529,55.82,171.25,2.00,,,,,,,,,,
77,150.00,1.50,6.00,2.00,2.00,3.50,13.00,1.058,188.46,170.67,2.00,,,,,,,,,,
78,100.00,2.50,6.00,1.00,2.50,3.00,10.00,0.264,32.03,170.61,2.00,,,,,,,,,,
79,125.00,2.00,6.00,1.50,3.50,2.00,13.00,0.529,32.78,170.28,2.00,,,,,,,,,,
80,175.00,2.50,4.00,1.50,2.00,4.00,19.00,0.132,41.69,169.62,2.00,,,,,,,,,,
81,100.00,2.50,6.00,1.00,2.50,3.00,10.00,1.058,131.53,169.13,2.00,,,,,,,,,,
82,150.00,1.50,6.00,2.00,2.00,3.50,16.00,0.264,39.45,168.97,2.00,,,,,,,,,,
83,125.00,2.00,6.00,1.50,3.50,2.00,13.00,0.264,16.80,168.87,2.00,,,,,,,,,,
84,150.00,3.00,4.00,1.00,3.50,2.50,22.00,0.529,50.47,168.65,2.00,,,,,,,,,,
85,150.00,1.00,5.00,1.50,4.00,3.00,13.00,0.264,14.37,168.56,2.00,,,,,,,,,,
86,150.00,2.50,3.00,3.00,3.00,2.00,13.00,1.058,143.72,167.86,2.00,,,,,,,,,,
87,175.00,2.51,4.03,1.44,2.00,3.94,20.00,0.100,30.63,167.75,2.00,,,,,,,,,,
88,150.00,3.00,4.00,1.00,3.50,2.50,16.00,0.264,35.33,167.64,2.00,,,,,,,,,,
89,150.00,1.50,6.00,2.00,2.00,3.50,16.00,0.529,81.43,167.19,2.00,,,,,,,,,,
90,175.00,2.50,4.00,1.50,2.00,4.00,22.00,0.529,152.14,166.56,2.00,,,,,,,,,,
91,175.00,2.00,3.00,1.00,4.00,3.50,13.00,0.529,93.50,165.66,2.00,,,,,,,,,,
92,175.00,2.00,3.00,1.00,4.00,3.50,16.00,0.529,76.24,165.46,2.00,,,,,,,,,,
93,175.00,1.00,6.00,2.50,3.00,2.50,13.00,0.529,48.60,164.63,2.00,,,,,,,,,,
94,175.00,2.50,4.00,1.50,2.00,4.00,22.00,0.132,39.97,163.82,2.00,,,,,,,,,,
95,175.00,2.51,4.03,1.44,2.00,3.94,20.00,0.050,16.58,163.39,2.00,,,,,,,,,,
96,150.00,1.50,6.00,2.00,2.00,3.50,16.00,1.058,175.37,163.12,2.00,,,,,,,,,,
97,175.00,1.00,6.00,2.50,3.00,2.50,16.00,0.529,41.27,162.23,2.00,,,,,,,,,,
98,175.00,1.00,6.00,2.50,3.00,2.50,16.00,1.058,84.23,161.13,2.00,,,,,,,,,,
99,175.00,2.00,3.00,1.00,4.00,3.50,19.00,1.058,140.73,160.48,2.00,,,,,,,,,,
100,150.00,1.50,6.00,2.00,2.00,3.50,19.00,1.058,155.14,160.47,2.00,,,,,,,,,,
101,150.00,1.50,6.00,2.00,2.00,3.50,19.00,0.529,77.83,160.29,2.00,,,,,,,,,,
102,150.00,3.00,4.00,1.00,3.50,2.50,22.00,0.264,29.51,160.07,2.00,,,,,,,,,,
103,100.00,2.50,6.00,1.00,2.50,3.00,10.00,0.529,78.84,159.21,2.00,,,,,,,,,,
104,150.00,1.50,6.00,2.00,2.00,3.50,16.00,0.132,23.94,158.41,2.00,,,,,,,,,,
105,175.00,2.00,3.00,1.00,4.00,3.50,16.00,1.058,174.03,158.33,2.00,,,,,,,,,,
106,125.00,2.00,6.00,1.50,3.50,2.00,10.00,1.058,106.04,158.32,2.00,,,,,,,,,,
107,125.00,3.00,3.00,2.50,2.00,3.00,10.00,0.264,94.92,157.78,2.00,,,,,,,,,,
108,150.00,1.50,6.00,2.00,2.00,3.50,19.00,0.264,40.84,157.72,2.00,,,,,,,,,,
109,150.00,2.50,3.00,3.00,3.00,2.00,13.00,0.529,86.93,157.54,2.00,,,,,,,,,,
110,150.00,2.50,3.00,3.00,3.00,2.00,13.00,0.264,43.89,157.03,2.00,,,,,,,,,,
111,150.00,3.00,4.01,1.00,3.50,2.49,20.00,0.200,26.23,156.49,2.00,,,,,,,,,,
112,175.00,1.00,6.00,2.50,3.00,2.50,19.00,0.529,38.80,156.39,2.00,,,,,,,,,,
113,150.00,3.00,4.01,1.00,3.50,2.49,20.00,0.150,19.84,156.06,2.00,,,,,,,,,,
114,100.00,2.50,6.00,1.00,2.50,3.00,13.00,0.264,32.50,155.57,2.00,,,,,,,,,,
115,175.00,2.00,3.00,1.00,4.00,3.50,19.00,0.529,77.45,155.43,2.00,,,,,,,,,,
116,150.00,1.00,5.00,1.50,4.00,3.00,10.00,0.529,47.72,155.36,2.00,,,,,,,,,,
117,150.00,2.50,3.00,3.00,3.00,2.00,16.00,0.529,73.88,155.20,2.00,,,,,,,,,,
118,150.00,3.00,4.00,1.00,3.50,2.50,19.00,0.264,37.92,154.62,2.00,,,,,,,,,,
119,125.00,3.00,3.00,2.50,2.00,3.00,10.00,0.529,204.03,154.03,2.00,,,,,,,,,,
120,125.00,3.00,3.00,2.50,2.00,3.00,10.00,1.058,421.89,152.33,2.00,,,,,,,,,,
121,150.00,1.50,6.00,2.00,2.00,3.50,22.00,0.529,79.35,151.66,2.00,,,,,,,,,,
122,125.00,2.00,6.00,1.50,3.50,2.00,16.00,0.529,38.14,151.08,2.00,,,,,,,,,,
123,150.00,3.00,4.01,1.00,3.50,2.49,20.00,0.100,14.73,150.56,2.00,,,,,,,,,,
124,125.00,2.00,6.00,1.50,3.50,2.00,19.00,0.529,32.97,149.77,2.00,,,,,,,,,,
125,150.00,2.50,3.00,3.00,3.00,2.00,16.00,1.058,165.66,149.39,2.00,,,,,,,,,,
126,150.00,3.00,4.00,1.00,3.50,2.50,19.00,0.132,21.07,149.27,2.00,,,,,,,,,,
127,100.00,2.50,6.00,1.00,2.50,3.00,13.00,1.058,148.49,148.82,2.00,,,,,,,,,,
128,175.00,2.00,3.00,1.00,4.00,3.50,22.00,0.264,38.78,147.95,2.00,,,,,,,,,,
129,100.00,2.50,6.00,1.00,2.50,3.00,16.00,0.264,31.76,146.28,2.00,,,,,,,,,,
130,150.00,1.50,6.00,2.00,2.00,3.50,22.00,1.058,180.42,145.31,2.00,,,,,,,,,,
131,125.00,3.00,3.00,2.50,2.00,3.00,10.00,0.132,61.03,145.09,2.00,,,,,,,,,,
132,100.00,2.50,6.00,1.00,2.50,3.00,16.00,0.529,65.73,144.63,2.00,,,,,,,,,,
133,175.00,2.00,3.00,1.00,4.00,3.50,22.00,1.058,167.12,144.32,2.00,,,,,,,,,,
134,150.00,1.00,5.00,1.50,4.00,3.00,10.00,1.058,119.30,144.23,2.00,,,,,,,,,,
135,125.00,1.50,5.00,1.00,3.00,4.00,10.00,0.529,105.44,144.12,2.00,,,,,,,,,,
136,100.00,2.50,6.00,1.00,2.50,3.00,13.00,0.529,81.76,144.12,2.00,,,,,,,,,,
137,125.00,3.00,3.00,2.50,2.00,3.00,13.00,0.529,194.76,143.34,2.00,,,,,,,,,,
138,175.00,1.00,6.00,2.50,3.00,2.50,19.00,1.058,101.89,142.81,2.00,,,,,,,,,,
