Experiment,Orifice,aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,capillary,,Rate,Size,,,,,
1,125,1,4,3,2.5,3.5,12,0.21,,399.4,79.31602451,,,,,
2,125,1,4,3,2.5,3.5,9,0.25,,593.1,81.09750018,,,,,
3,75,3,6,3,4,4,17,0.15,,142,81.16757403,,,,,
4,100,2.8101,2,1.5029,2.9903,3.57789,16,0.16,,274,86.02112148,,,,,
5,75,2,4,2,3,3,13,0.23,,264.4,73.87059418,,,,,
6,75,3,6,3,4,4,13,0.18,,217.3,81.85044473,,,,,
7,150,2,2,2.5,2.5,4,16,0.08,,125.4,113.549431,,,,,
8,150,2,2,2.5,2.5,4,10,0.04,,26.7,176.526692,,,,,
9,75,2,4,2,3,3,12,0.38,,399,78.19405456,,,,,
10,75,3,6,3,4,4,6,0.04,,8.5,188.9852196,,,,,
11,100,2.8101,2,1.5029,2.9903,3.57789,17,0.31,,987.1,68.55500414,,,,,
12,150,2,2,2.5,2.5,4,13,0.14,,401,99.53463844,,,,,
13,100,2.8101,2,1.5029,2.9903,3.57789,14,0.28,,775.8,76.60939418,,,,,
14,100,2.8101,2,1.5029,2.9903,3.57789,8,0.04,,10.3,203.8134691,,,,,
15,75,2,4,2,3,3,20,0.45,,508.1,64.3736828,,,,,
16,75,2,4,2,3,3,16,0.41,,423.3,71.44455188,,,,,
17,150,2,2,2.5,2.5,4,13.84,0.06,,62,136.9310578,,,,,
18,150,1,5,1.5,4,3,5,0.03,,4.9,222.8329404,,,,,
