Experiment number,Orifice width (um),Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary number,Observed generation rate (Hz),Observed droplet diameter (um),Observed regime (1= Dripping & 2 = Jetting),,,,,,,,
58,75.00,2.00,4.00,2.00,3.00,3.00,13.00,0.264384,77.49,83.97,2,,,,,,,,
59,75.00,2.00,4.00,2.00,3.00,3.00,13.00,0.528768,122.47,90.83,2,,,,,,,,
60,75.00,2.00,4.00,2.00,3.00,3.00,13.00,1.057536,228.49,92.96,2,,,,,,,,
61,75.00,2.00,4.00,2.00,3.00,3.00,16.00,0.066096,36.85,63.24,1,,,,,,,,
62,75.00,2.00,4.00,2.00,3.00,3.00,16.00,0.132192,99.53,57.22,1,,,,,,,,
63,75.00,2.00,4.00,2.00,3.00,3.00,16.00,0.264384,79.11,77.82,2,,,,,,,,
64,75.00,2.00,4.00,2.00,3.00,3.00,16.00,0.528768,140.69,80.93,2,,,,,,,,
65,75.00,2.00,4.00,2.00,3.00,3.00,16.00,1.057536,239.41,85.40,2,,,,,,,,
66,75.00,2.00,4.00,2.00,3.00,3.00,19.00,0.066096,34.51,61.04,1,,,,,,,,
67,75.00,2.00,4.00,2.00,3.00,3.00,19.00,0.132192,121.81,50.51,1,,,,,,,,
68,75.00,2.00,4.00,2.00,3.00,3.00,19.00,0.264384,75.27,74.72,2,,,,,,,,
69,75.00,2.00,4.00,2.00,3.00,3.00,19.00,0.528768,128.37,78.79,2,,,,,,,,
70,75.00,2.00,4.00,2.00,3.00,3.00,19.00,1.057536,246.65,79.85,2,,,,,,,,
71,75.00,2.00,4.00,2.00,3.00,3.00,22.00,0.066096,35.71,57.47,1,,,,,,,,
72,75.00,2.00,4.00,2.00,3.00,3.00,22.00,0.132192,130.22,47.04,1,,,,,,,,
73,75.00,2.00,4.00,2.00,3.00,3.00,22.00,0.264384,78.38,70.20,2,,,,,,,,
74,75.00,2.00,4.00,2.00,3.00,3.00,22.00,0.528768,150.30,71.19,2,,,,,,,,
75,75.00,2.00,4.00,2.00,3.00,3.00,22.00,1.057536,255.86,75.12,2,,,,,,,,
76,75.00,2.50,5.00,2.50,3.50,3.50,10.00,0.066096,29.61,84.90,1,,,,,,,,
77,75.00,2.50,5.00,2.50,3.50,3.50,10.00,0.132192,135.36,64.46,1,,,,,,,,
78,75.00,2.50,5.00,2.50,3.50,3.50,10.00,0.264384,63.27,104.64,2,,,,,,,,
79,75.00,2.50,5.00,2.50,3.50,3.50,10.00,0.528768,115.02,108.02,2,,,,,,,,
80,75.00,2.50,5.00,2.50,3.50,3.50,10.00,1.057536,237.21,106.92,2,,,,,,,,
81,75.00,2.50,5.00,2.50,3.50,3.50,13.00,0.066096,36.13,72.80,1,,,,,,,,
82,75.00,2.50,5.00,2.50,3.50,3.50,13.00,0.132192,126.52,60.40,1,,,,,,,,
83,75.00,2.50,5.00,2.50,3.50,3.50,13.00,0.264384,56.64,99.48,2,,,,,,,,
84,75.00,2.50,5.00,2.50,3.50,3.50,13.00,0.528768,110.74,100.24,2,,,,,,,,
85,75.00,2.50,5.00,2.50,3.50,3.50,13.00,1.057536,234.32,98.37,2,,,,,,,,
86,75.00,2.50,5.00,2.50,3.50,3.50,16.00,0.066096,31.53,71.09,1,,,,,,,,
87,75.00,2.50,5.00,2.50,3.50,3.50,16.00,0.132192,124.15,56.72,1,,,,,,,,
88,75.00,2.50,5.00,2.50,3.50,3.50,16.00,0.264384,60.73,90.70,2,,,,,,,,
89,75.00,2.50,5.00,2.50,3.50,3.50,16.00,0.528768,126.68,89.43,2,,,,,,,,
90,75.00,2.50,5.00,2.50,3.50,3.50,16.00,1.057536,213.52,94.68,2,,,,,,,,
91,75.00,2.50,5.00,2.50,3.50,3.50,19.00,0.066096,33.99,65.47,1,,,,,,,,
92,75.00,2.50,5.00,2.50,3.50,3.50,19.00,0.132192,180.84,47.25,1,,,,,,,,
93,75.00,2.50,5.00,2.50,3.50,3.50,19.00,0.264384,62.37,84.89,2,,,,,,,,
94,75.00,2.50,5.00,2.50,3.50,3.50,19.00,0.528768,117.41,86.62,2,,,,,,,,
95,75.00,2.50,5.00,2.50,3.50,3.50,19.00,1.057536,216.73,88.97,2,,,,,,,,
96,75.00,2.50,5.00,2.50,3.50,3.50,22.00,0.066096,30.41,64.71,1,,,,,,,,
97,75.00,2.50,5.00,2.50,3.50,3.50,22.00,0.132192,46.88,70.57,2,,,,,,,,
98,75.00,2.50,5.00,2.50,3.50,3.50,22.00,0.264384,67.59,78.71,2,,,,,,,,
99,75.00,2.50,5.00,2.50,3.50,3.50,22.00,0.528768,112.77,83.61,2,,,,,,,,
100,75.00,2.50,5.00,2.50,3.50,3.50,22.00,1.057536,211.01,85.48,2,,,,,,,,
101,75.00,3.00,6.00,3.00,4.00,4.00,10.00,0.066096,33.74,85.79,1,,,,,,,,
102,75.00,3.00,6.00,3.00,4.00,4.00,10.00,0.132192,143.24,66.75,1,,,,,,,,
103,75.00,3.00,6.00,3.00,4.00,4.00,10.00,0.264384,43.42,125.20,2,,,,,,,,
104,75.00,3.00,6.00,3.00,4.00,4.00,10.00,0.528768,81.70,127.77,2,,,,,,,,
105,75.00,3.00,6.00,3.00,4.00,4.00,10.00,1.057536,155.03,130.03,2,,,,,,,,
106,75.00,3.00,6.00,3.00,4.00,4.00,13.00,0.066096,41.95,73.10,1,,,,,,,,
107,75.00,3.00,6.00,3.00,4.00,4.00,13.00,0.132192,164.76,58.38,1,,,,,,,,
108,75.00,3.00,6.00,3.00,4.00,4.00,13.00,0.264384,50.10,109.37,2,,,,,,,,
109,75.00,3.00,6.00,3.00,4.00,4.00,13.00,0.528768,102.89,108.41,2,,,,,,,,
110,75.00,3.00,6.00,3.00,4.00,4.00,13.00,1.057536,164.55,116.80,2,,,,,,,,
111,75.00,3.00,6.00,3.00,4.00,4.00,16.00,0.066096,24.50,81.61,1,,,,,,,,
112,75.00,3.00,6.00,3.00,4.00,4.00,16.00,0.132192,133.69,58.40,1,,,,,,,,
113,75.00,3.00,6.00,3.00,4.00,4.00,16.00,0.264384,56.19,98.23,2,,,,,,,,
114,75.00,3.00,6.00,3.00,4.00,4.00,16.00,0.528768,96.71,103.27,2,,,,,,,,
115,75.00,3.00,6.00,3.00,4.00,4.00,16.00,1.057536,175.64,106.65,2,,,,,,,,
116,75.00,3.00,6.00,3.00,4.00,4.00,19.00,0.066096,32.30,70.28,1,,,,,,,,
117,75.00,3.00,6.00,3.00,4.00,4.00,19.00,0.132192,160.75,51.86,1,,,,,,,,
118,75.00,3.00,6.00,3.00,4.00,4.00,19.00,0.264384,53.44,94.33,2,,,,,,,,
119,75.00,3.00,6.00,3.00,4.00,4.00,19.00,0.528768,85.85,101.47,2,,,,,,,,
120,75.00,3.00,6.00,3.00,4.00,4.00,19.00,1.057536,169.81,101.85,2,,,,,,,,
121,75.00,3.00,6.00,3.00,4.00,4.00,22.00,0.066096,28.94,69.43,1,,,,,,,,
122,75.00,3.00,6.00,3.00,4.00,4.00,22.00,0.132192,153.23,50.19,1,,,,,,,,
123,75.00,3.00,6.00,3.00,4.00,4.00,22.00,0.264384,49.22,92.32,2,,,,,,,,
124,75.00,3.00,6.00,3.00,4.00,4.00,22.00,0.528768,95.37,93.31,2,,,,,,,,
125,75.00,3.00,6.00,3.00,4.00,4.00,22.00,1.057536,182.46,94.70,2,,,,,,,,
126,100.00,1.00,3.00,2.00,3.50,4.00,10.00,0.066096,43.49,69.23,1,,,,,,,,
127,100.00,1.00,3.00,2.00,3.50,4.00,10.00,0.132192,156.78,56.88,1,,,,,,,,
128,100.00,1.00,3.00,2.00,3.50,4.00,10.00,0.264384,300.60,57.69,1,,,,,,,,
129,100.00,1.00,3.00,2.00,3.50,4.00,10.00,0.528768,133.87,95.18,2,,,,,,,,
130,100.00,1.00,3.00,2.00,3.50,4.00,10.00,1.057536,291.95,92.47,2,,,,,,,,
131,100.00,1.00,3.00,2.00,3.50,4.00,13.00,0.066096,42.31,64.01,1,,,,,,,,
132,100.00,1.00,3.00,2.00,3.50,4.00,13.00,0.132192,154.16,52.41,1,,,,,,,,
133,100.00,1.00,3.00,2.00,3.50,4.00,13.00,0.264384,374.50,49.12,1,,,,,,,,
134,100.00,1.00,3.00,2.00,3.50,4.00,13.00,0.528768,127.86,88.55,2,,,,,,,,
135,100.00,1.00,3.00,2.00,3.50,4.00,13.00,1.057536,338.46,80.65,2,,,,,,,,
136,100.00,1.00,3.00,2.00,3.50,4.00,16.00,0.066096,44.62,58.68,1,,,,,,,,
137,100.00,1.00,3.00,2.00,3.50,4.00,16.00,0.132192,175.08,46.88,1,,,,,,,,
138,100.00,1.00,3.00,2.00,3.50,4.00,16.00,0.264384,323.51,48.13,1,,,,,,,,
139,100.00,1.00,3.00,2.00,3.50,4.00,16.00,0.528768,153.85,77.69,2,,,,,,,,
140,100.00,1.00,3.00,2.00,3.50,4.00,16.00,1.057536,373.24,72.85,2,,,,,,,,
