Experiment number,Orifice width (um),Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary number,Observed generation rate (Hz),Observed droplet diameter (um),Observed regime (1= Dripping & 2 = Jetting),,,,,,,,
253,125.00,1.00,4.00,3.00,2.50,3.50,10.00,0.264384,311.04,71.31,1,,,,,,,,
254,125.00,1.00,4.00,3.00,2.50,3.50,10.00,0.528768,207.21,102.87,2,,,,,,,,
255,125.00,1.00,4.00,3.00,2.50,3.50,10.00,1.057536,382.94,105.61,2,,,,,,,,
256,125.00,1.00,4.00,3.00,2.50,3.50,13.00,0.066096,58.27,71.93,1,,,,,,,,
257,125.00,1.00,4.00,3.00,2.50,3.50,13.00,0.132192,131.97,69.01,1,,,,,,,,
258,125.00,1.00,4.00,3.00,2.50,3.50,13.00,0.264384,362.78,62.07,1,,,,,,,,
259,125.00,1.00,4.00,3.00,2.50,3.50,13.00,0.528768,155.83,103.64,2,,,,,,,,
260,125.00,1.00,4.00,3.00,2.50,3.50,13.00,1.057536,415.55,94.17,2,,,,,,,,
261,125.00,1.00,4.00,3.00,2.50,3.50,16.00,0.066096,46.98,72.12,1,,,,,,,,
262,125.00,1.00,4.00,3.00,2.50,3.50,16.00,0.132192,170.91,59.08,1,,,,,,,,
263,125.00,1.00,4.00,3.00,2.50,3.50,16.00,0.264384,355.47,58.31,1,,,,,,,,
264,125.00,1.00,4.00,3.00,2.50,3.50,16.00,0.528768,182.76,91.71,2,,,,,,,,
265,125.00,1.00,4.00,3.00,2.50,3.50,16.00,1.057536,352.46,92.83,2,,,,,,,,
266,125.00,1.00,4.00,3.00,2.50,3.50,19.00,0.066096,68.08,60.18,1,,,,,,,,
267,125.00,1.00,4.00,3.00,2.50,3.50,19.00,0.132192,163.53,56.62,1,,,,,,,,
268,125.00,1.00,4.00,3.00,2.50,3.50,19.00,0.264384,306.76,57.84,1,,,,,,,,
269,125.00,1.00,4.00,3.00,2.50,3.50,19.00,0.528768,192.95,85.05,2,,,,,,,,
270,125.00,1.00,4.00,3.00,2.50,3.50,19.00,1.057536,414.49,83.05,2,,,,,,,,
271,125.00,1.00,4.00,3.00,2.50,3.50,22.00,0.066096,78.75,54.59,1,,,,,,,,
272,125.00,1.00,4.00,3.00,2.50,3.50,22.00,0.132192,183.22,51.91,1,,,,,,,,
273,125.00,1.00,4.00,3.00,2.50,3.50,22.00,0.264384,418.62,49.66,1,,,,,,,,
274,125.00,1.00,4.00,3.00,2.50,3.50,22.00,0.528768,183.75,82.32,2,,,,,,,,
275,125.00,1.00,4.00,3.00,2.50,3.50,22.00,1.057536,409.12,79.43,2,,,,,,,,
276,125.00,1.50,5.00,1.00,3.00,4.00,10.00,0.066096,44.91,95.78,1,,,,,,,,
277,125.00,1.50,5.00,1.00,3.00,4.00,10.00,0.132192,30.91,136.67,2,,,,,,,,
278,125.00,1.50,5.00,1.00,3.00,4.00,10.00,0.264384,65.61,133.98,2,,,,,,,,
279,125.00,1.50,5.00,1.00,3.00,4.00,10.00,0.528768,105.44,144.12,2,,,,,,,,
280,125.00,1.50,5.00,1.00,3.00,4.00,10.00,1.057536,235.37,138.94,2,,,,,,,,
281,125.00,1.50,5.00,1.00,3.00,4.00,13.00,0.066096,46.58,86.69,1,,,,,,,,
282,125.00,1.50,5.00,1.00,3.00,4.00,13.00,0.132192,53.69,104.17,2,,,,,,,,
283,125.00,1.50,5.00,1.00,3.00,4.00,13.00,0.264384,72.39,118.81,2,,,,,,,,
284,125.00,1.50,5.00,1.00,3.00,4.00,13.00,0.528768,146.70,118.28,2,,,,,,,,
285,125.00,1.50,5.00,1.00,3.00,4.00,13.00,1.057536,238.26,126.78,2,,,,,,,,
286,125.00,1.50,5.00,1.00,3.00,4.00,16.00,0.066096,55.52,76.30,1,,,,,,,,
287,125.00,1.50,5.00,1.00,3.00,4.00,16.00,0.132192,54.10,96.96,2,,,,,,,,
288,125.00,1.50,5.00,1.00,3.00,4.00,16.00,0.264384,74.14,109.98,2,,,,,,,,
289,125.00,1.50,5.00,1.00,3.00,4.00,16.00,0.528768,150.23,109.50,2,,,,,,,,
290,125.00,1.50,5.00,1.00,3.00,4.00,16.00,1.057536,222.58,121.02,2,,,,,,,,
291,125.00,1.50,5.00,1.00,3.00,4.00,19.00,0.066096,58.39,70.85,1,,,,,,,,
292,125.00,1.50,5.00,1.00,3.00,4.00,19.00,0.132192,55.59,90.74,2,,,,,,,,
293,125.00,1.50,5.00,1.00,3.00,4.00,19.00,0.264384,57.54,113.02,2,,,,,,,,
294,125.00,1.50,5.00,1.00,3.00,4.00,19.00,0.528768,147.95,103.94,2,,,,,,,,
295,125.00,1.50,5.00,1.00,3.00,4.00,19.00,1.057536,221.25,114.51,2,,,,,,,,
296,125.00,1.50,5.00,1.00,3.00,4.00,22.00,0.066096,62.54,65.94,1,,,,,,,,
297,125.00,1.50,5.00,1.00,3.00,4.00,22.00,0.132192,43.57,93.72,2,,,,,,,,
298,125.00,1.50,5.00,1.00,3.00,4.00,22.00,0.264384,65.24,103.21,2,,,,,,,,
299,125.00,1.50,5.00,1.00,3.00,4.00,22.00,0.528768,128.95,103.62,2,,,,,,,,
300,125.00,1.50,5.00,1.00,3.00,4.00,22.00,1.057536,204.36,111.98,2,,,,,,,,
301,125.00,2.00,6.00,1.50,3.50,2.00,10.00,0.066096,30.38,95.31,1,,,,,,,,
302,125.00,2.00,6.00,1.50,3.50,2.00,10.00,0.132192,75.47,88.66,1,,,,,,,,
303,125.00,2.00,6.00,1.50,3.50,2.00,10.00,0.264384,14.46,193.78,2,,,,,,,,
304,125.00,2.00,6.00,1.50,3.50,2.00,10.00,0.528768,28.02,195.81,2,,,,,,,,
305,125.00,2.00,6.00,1.50,3.50,2.00,10.00,1.057536,106.04,158.32,2,,,,,,,,
306,125.00,2.00,6.00,1.50,3.50,2.00,13.00,0.066096,25.71,92.33,1,,,,,,,,
307,125.00,2.00,6.00,1.50,3.50,2.00,13.00,0.132192,85.14,78.04,1,,,,,,,,
308,125.00,2.00,6.00,1.50,3.50,2.00,13.00,0.264384,16.80,168.87,2,,,,,,,,
309,125.00,2.00,6.00,1.50,3.50,2.00,13.00,0.528768,32.78,170.28,2,,,,,,,,
310,125.00,2.00,6.00,1.50,3.50,2.00,13.00,1.057536,113.61,141.77,2,,,,,,,,
311,125.00,2.00,6.00,1.50,3.50,2.00,16.00,0.066096,16.02,100.85,1,,,,,,,,
312,125.00,2.00,6.00,1.50,3.50,2.00,16.00,0.132192,75.02,75.96,1,,,,,,,,
313,125.00,2.00,6.00,1.50,3.50,2.00,16.00,0.264384,26.22,135.85,2,,,,,,,,
314,125.00,2.00,6.00,1.50,3.50,2.00,16.00,0.528768,38.14,151.08,2,,,,,,,,
315,125.00,2.00,6.00,1.50,3.50,2.00,16.00,1.057536,99.33,138.35,2,,,,,,,,
316,125.00,2.00,6.00,1.50,3.50,2.00,19.00,0.066096,15.80,95.69,1,,,,,,,,
317,125.00,2.00,6.00,1.50,3.50,2.00,19.00,0.132192,27.13,100.68,1,,,,,,,,
318,125.00,2.00,6.00,1.50,3.50,2.00,19.00,0.264384,25.27,129.88,2,,,,,,,,
319,125.00,2.00,6.00,1.50,3.50,2.00,19.00,0.528768,32.97,149.77,2,,,,,,,,
320,125.00,2.00,6.00,1.50,3.50,2.00,19.00,1.057536,121.40,122.19,2,,,,,,,,
321,125.00,2.00,6.00,1.50,3.50,2.00,22.00,0.066096,42.35,65.60,1,,,,,,,,
322,125.00,2.00,6.00,1.50,3.50,2.00,22.00,0.132192,22.24,102.45,2,,,,,,,,
323,125.00,2.00,6.00,1.50,3.50,2.00,22.00,0.264384,24.64,124.74,2,,,,,,,,
324,125.00,2.00,6.00,1.50,3.50,2.00,22.00,0.528768,37.26,136.92,2,,,,,,,,
325,125.00,2.00,6.00,1.50,3.50,2.00,22.00,1.057536,130.78,113.51,2,,,,,,,,
326,125.00,2.50,2.00,2.00,4.00,2.50,10.00,0.066096,16.66,126.50,1,,,,,,,,
327,125.00,2.50,2.00,2.00,4.00,2.50,10.00,0.132192,44.30,115.03,1,,,,,,,,
328,125.00,2.50,2.00,2.00,4.00,2.50,10.00,0.264384,83.95,117.11,2,,,,,,,,
329,125.00,2.50,2.00,2.00,4.00,2.50,10.00,0.528768,144.44,123.14,2,,,,,,,,
330,125.00,2.50,2.00,2.00,4.00,2.50,10.00,1.057536,233.71,132.15,2,,,,,,,,
331,125.00,2.50,2.00,2.00,4.00,2.50,13.00,0.066096,7.82,149.11,1,,,,,,,,
332,125.00,2.50,2.00,2.00,4.00,2.50,13.00,0.132192,53.45,99.00,1,,,,,,,,
333,125.00,2.50,2.00,2.00,4.00,2.50,13.00,0.264384,97.39,102.12,1,,,,,,,,
334,125.00,2.50,2.00,2.00,4.00,2.50,13.00,0.528768,128.86,117.20,2,,,,,,,,
335,125.00,2.50,2.00,2.00,4.00,2.50,13.00,1.057536,220.58,123.44,2,,,,,,,,
336,125.00,2.50,2.00,2.00,4.00,2.50,16.00,0.066096,7.44,141.48,1,,,,,,,,
337,125.00,2.50,2.00,2.00,4.00,2.50,16.00,0.132192,49.39,94.85,1,,,,,,,,
338,125.00,2.50,2.00,2.00,4.00,2.50,16.00,0.264384,72.49,105.15,2,,,,,,,,
339,125.00,2.50,2.00,2.00,4.00,2.50,16.00,0.528768,153.54,103.16,2,,,,,,,,
340,125.00,2.50,2.00,2.00,4.00,2.50,16.00,1.057536,249.31,110.58,2,,,,,,,,
341,125.00,2.50,2.00,2.00,4.00,2.50,19.00,0.066096,14.41,107.17,1,,,,,,,,
342,125.00,2.50,2.00,2.00,4.00,2.50,19.00,0.132192,67.97,80.52,1,,,,,,,,
343,125.00,2.50,2.00,2.00,4.00,2.50,19.00,0.264384,86.96,93.45,2,,,,,,,,
344,125.00,2.50,2.00,2.00,4.00,2.50,19.00,0.528768,113.79,107.65,2,,,,,,,,
345,125.00,2.50,2.00,2.00,4.00,2.50,19.00,1.057536,244.26,105.14,2,,,,,,,,
346,125.00,2.50,2.00,2.00,4.00,2.50,22.00,0.066096,14.40,102.09,1,,,,,,,,
347,125.00,2.50,2.00,2.00,4.00,2.50,22.00,0.132192,59.66,80.09,1,,,,,,,,
348,125.00,2.50,2.00,2.00,4.00,2.50,22.00,0.264384,78.27,92.17,2,,,,,,,,
349,125.00,2.50,2.00,2.00,4.00,2.50,22.00,0.528768,125.00,99.35,2,,,,,,,,
350,125.00,2.50,2.00,2.00,4.00,2.50,22.00,1.057536,232.33,101.81,2,,,,,,,,
351,125.00,3.00,3.00,2.50,2.00,3.00,10.00,0.066096,60.38,115.57,1,,,,,,,,
352,125.00,3.00,3.00,2.50,2.00,3.00,10.00,0.132192,61.03,145.09,2,,,,,,,,
353,125.00,3.00,3.00,2.50,2.00,3.00,10.00,0.264384,94.92,157.78,2,,,,,,,,
354,125.00,3.00,3.00,2.50,2.00,3.00,10.00,0.528768,204.03,154.03,2,,,,,,,,
355,125.00,3.00,3.00,2.50,2.00,3.00,10.00,1.057536,421.89,152.33,2,,,,,,,,
356,125.00,3.00,3.00,2.50,2.00,3.00,13.00,0.066096,65.32,103.15,1,,,,,,,,
357,125.00,3.00,3.00,2.50,2.00,3.00,13.00,0.132192,62.16,132.13,2,,,,,,,,
358,125.00,3.00,3.00,2.50,2.00,3.00,13.00,0.264384,132.89,129.23,2,,,,,,,,
359,125.00,3.00,3.00,2.50,2.00,3.00,13.00,0.528768,194.76,143.34,2,,,,,,,,
360,125.00,3.00,3.00,2.50,2.00,3.00,13.00,1.057536,438.89,137.75,2,,,,,,,,
361,125.00,3.00,3.00,2.50,2.00,3.00,16.00,0.066096,76.20,91.44,1,,,,,,,,
362,125.00,3.00,3.00,2.50,2.00,3.00,16.00,0.132192,79.14,113.76,2,,,,,,,,
363,125.00,3.00,3.00,2.50,2.00,3.00,16.00,0.264384,122.65,123.85,2,,,,,,,,
364,125.00,3.00,3.00,2.50,2.00,3.00,16.00,0.528768,190.60,134.72,2,,,,,,,,
365,125.00,3.00,3.00,2.50,2.00,3.00,16.00,1.057536,426.01,129.82,2,,,,,,,,
366,125.00,3.00,3.00,2.50,2.00,3.00,19.00,0.066096,58.07,94.53,1,,,,,,,,
367,125.00,3.00,3.00,2.50,2.00,3.00,19.00,0.132192,48.65,126.34,2,,,,,,,,
368,125.00,3.00,3.00,2.50,2.00,3.00,19.00,0.264384,110.36,121.15,2,,,,,,,,
369,125.00,3.00,3.00,2.50,2.00,3.00,19.00,0.528768,207.83,123.60,2,,,,,,,,
370,125.00,3.00,3.00,2.50,2.00,3.00,19.00,1.057536,400.53,125.14,2,,,,,,,,
371,125.00,3.00,3.00,2.50,2.00,3.00,22.00,0.066096,72.86,83.47,1,,,,,,,,
372,125.00,3.00,3.00,2.50,2.00,3.00,22.00,0.132192,73.40,104.90,2,,,,,,,,
373,125.00,3.00,3.00,2.50,2.00,3.00,22.00,0.264384,117.69,112.92,2,,,,,,,,
374,125.00,3.00,3.00,2.50,2.00,3.00,22.00,0.528768,172.26,125.31,2,,,,,,,,
375,125.00,3.00,3.00,2.50,2.00,3.00,22.00,1.057536,417.21,117.56,2,,,,,,,,
376,150.00,1.00,5.00,1.50,4.00,3.00,10.00,0.066096,27.44,93.42,1,,,,,,,,
377,150.00,1.00,5.00,1.50,4.00,3.00,10.00,0.132192,65.08,88.25,1,,,,,,,,
378,150.00,1.00,5.00,1.50,4.00,3.00,10.00,0.264384,198.39,76.69,1,,,,,,,,
379,150.00,1.00,5.00,1.50,4.00,3.00,10.00,0.528768,47.72,155.36,2,,,,,,,,
380,150.00,1.00,5.00,1.50,4.00,3.00,10.00,1.057536,119.30,144.23,2,,,,,,,,
381,150.00,1.00,5.00,1.50,4.00,3.00,13.00,0.066096,33.88,79.78,1,,,,,,,,
382,150.00,1.00,5.00,1.50,4.00,3.00,13.00,0.132192,72.48,78.01,1,,,,,,,,
383,150.00,1.00,5.00,1.50,4.00,3.00,13.00,0.264384,14.37,168.56,2,,,,,,,,
384,150.00,1.00,5.00,1.50,4.00,3.00,13.00,0.528768,69.29,125.71,2,,,,,,,,
385,150.00,1.00,5.00,1.50,4.00,3.00,13.00,1.057536,122.05,131.15,2,,,,,,,,
386,150.00,1.00,5.00,1.50,4.00,3.00,16.00,0.066096,42.47,69.05,1,,,,,,,,
387,150.00,1.00,5.00,1.50,4.00,3.00,16.00,0.132192,46.27,84.54,1,,,,,,,,
388,150.00,1.00,5.00,1.50,4.00,3.00,16.00,0.264384,38.31,113.44,2,,,,,,,,
389,150.00,1.00,5.00,1.50,4.00,3.00,16.00,0.528768,67.03,118.61,2,,,,,,,,
390,150.00,1.00,5.00,1.50,4.00,3.00,16.00,1.057536,117.17,124.05,2,,,,,,,,
391,150.00,1.00,5.00,1.50,4.00,3.00,19.00,0.066096,43.94,64.47,1,,,,,,,,
392,150.00,1.00,5.00,1.50,4.00,3.00,19.00,0.132192,105.99,60.57,1,,,,,,,,
393,150.00,1.00,5.00,1.50,4.00,3.00,19.00,0.264384,35.91,109.46,2,,,,,,,,
394,150.00,1.00,5.00,1.50,4.00,3.00,19.00,0.528768,74.60,108.08,2,,,,,,,,
395,150.00,1.00,5.00,1.50,4.00,3.00,19.00,1.057536,139.85,110.44,2,,,,,,,,
396,150.00,1.00,5.00,1.50,4.00,3.00,22.00,0.066096,60.22,55.27,1,,,,,,,,
397,150.00,1.00,5.00,1.50,4.00,3.00,22.00,0.132192,66.44,67.39,1,,,,,,,,
398,150.00,1.00,5.00,1.50,4.00,3.00,22.00,0.264384,37.81,102.46,2,,,,,,,,
399,150.00,1.00,5.00,1.50,4.00,3.00,22.00,0.528768,64.10,108.27,2,,,,,,,,
400,150.00,1.00,5.00,1.50,4.00,3.00,22.00,1.057536,136.15,106.12,2,,,,,,,,
401,150.00,1.50,6.00,2.00,2.00,3.50,10.00,0.066096,114.11,87.38,1,,,,,,,,
402,150.00,1.50,6.00,2.00,2.00,3.50,10.00,0.132192,11.56,236.12,2,,,,,,,,
403,150.00,1.50,6.00,2.00,2.00,3.50,10.00,0.264384,34.30,207.05,2,,,,,,,,
404,150.00,1.50,6.00,2.00,2.00,3.50,10.00,0.528768,77.97,198.41,2,,,,,,,,
405,150.00,1.50,6.00,2.00,2.00,3.50,10.00,1.057536,175.40,190.78,2,,,,,,,,
406,150.00,1.50,6.00,2.00,2.00,3.50,13.00,0.066096,127.18,77.22,1,,,,,,,,
407,150.00,1.50,6.00,2.00,2.00,3.50,13.00,0.132192,18.97,183.44,2,,,,,,,,
408,150.00,1.50,6.00,2.00,2.00,3.50,13.00,0.264384,35.55,187.48,2,,,,,,,,
409,150.00,1.50,6.00,2.00,2.00,3.50,13.00,0.528768,74.50,184.57,2,,,,,,,,
410,150.00,1.50,6.00,2.00,2.00,3.50,13.00,1.057536,188.46,170.67,2,,,,,,,,
411,150.00,1.50,6.00,2.00,2.00,3.50,16.00,0.066096,97.08,78.84,1,,,,,,,,
412,150.00,1.50,6.00,2.00,2.00,3.50,16.00,0.132192,23.94,158.41,2,,,,,,,,
413,150.00,1.50,6.00,2.00,2.00,3.50,16.00,0.264384,39.45,168.97,2,,,,,,,,
414,150.00,1.50,6.00,2.00,2.00,3.50,16.00,0.528768,81.43,167.19,2,,,,,,,,
415,150.00,1.50,6.00,2.00,2.00,3.50,16.00,1.057536,175.37,163.12,2,,,,,,,,
416,150.00,1.50,6.00,2.00,2.00,3.50,19.00,0.066096,90.10,76.33,1,,,,,,,,
417,150.00,1.50,6.00,2.00,2.00,3.50,19.00,0.132192,15.67,172.29,2,,,,,,,,
418,150.00,1.50,6.00,2.00,2.00,3.50,19.00,0.264384,40.84,157.72,2,,,,,,,,
419,150.00,1.50,6.00,2.00,2.00,3.50,19.00,0.528768,77.83,160.29,2,,,,,,,,
420,150.00,1.50,6.00,2.00,2.00,3.50,19.00,1.057536,155.14,160.47,2,,,,,,,,
421,150.00,1.50,6.00,2.00,2.00,3.50,22.00,0.066096,139.62,62.81,1,,,,,,,,
422,150.00,1.50,6.00,2.00,2.00,3.50,22.00,0.132192,27.85,135.44,2,,,,,,,,
423,150.00,1.50,6.00,2.00,2.00,3.50,22.00,0.264384,49.22,141.14,2,,,,,,,,
424,150.00,1.50,6.00,2.00,2.00,3.50,22.00,0.528768,79.35,151.66,2,,,,,,,,
425,150.00,1.50,6.00,2.00,2.00,3.50,22.00,1.057536,180.42,145.31,2,,,,,,,,
426,150.00,2.00,2.00,2.50,2.50,4.00,10.00,0.066096,75.73,106.28,1,,,,,,,,
427,150.00,2.00,2.00,2.50,2.50,4.00,10.00,0.132192,88.83,126.96,2,,,,,,,,
428,150.00,2.00,2.00,2.50,2.50,4.00,10.00,0.264384,179.93,126.43,2,,,,,,,,
429,150.00,2.00,2.00,2.50,2.50,4.00,10.00,0.528768,390.57,123.02,2,,,,,,,,
430,150.00,2.00,2.00,2.50,2.50,4.00,10.00,1.057536,727.20,125.99,2,,,,,,,,
431,150.00,2.00,2.00,2.50,2.50,4.00,13.00,0.066096,48.78,112.75,1,,,,,,,,
432,150.00,2.00,2.00,2.50,2.50,4.00,13.00,0.132192,91.64,115.13,2,,,,,,,,
433,150.00,2.00,2.00,2.50,2.50,4.00,13.00,0.264384,185.91,114.58,2,,,,,,,,
434,150.00,2.00,2.00,2.50,2.50,4.00,13.00,0.528768,359.49,115.88,2,,,,,,,,
435,150.00,2.00,2.00,2.50,2.50,4.00,13.00,1.057536,734.10,115.08,2,,,,,,,,
436,150.00,2.00,2.00,2.50,2.50,4.00,16.00,0.066096,68.46,93.97,1,,,,,,,,
437,150.00,2.00,2.00,2.50,2.50,4.00,16.00,0.132192,99.20,104.63,2,,,,,,,,
438,150.00,2.00,2.00,2.50,2.50,4.00,16.00,0.264384,205.49,103.41,2,,,,,,,,
439,150.00,2.00,2.00,2.50,2.50,4.00,16.00,0.528768,491.97,97.39,2,,,,,,,,
440,150.00,2.00,2.00,2.50,2.50,4.00,16.00,1.057536,708.33,108.67,2,,,,,,,,
441,150.00,2.00,2.00,2.50,2.50,4.00,19.00,0.066096,51.75,97.42,1,,,,,,,,
442,150.00,2.00,2.00,2.50,2.50,4.00,19.00,0.132192,95.49,100.07,2,,,,,,,,
443,150.00,2.00,2.00,2.50,2.50,4.00,19.00,0.264384,170.47,103.93,2,,,,,,,,
444,150.00,2.00,2.00,2.50,2.50,4.00,19.00,0.528768,385.28,99.78,2,,,,,,,,
445,150.00,2.00,2.00,2.50,2.50,4.00,19.00,1.057536,706.59,102.70,2,,,,,,,,
446,150.00,2.00,2.00,2.50,2.50,4.00,22.00,0.066096,63.43,86.69,2,,,,,,,,
447,150.00,2.00,2.00,2.50,2.50,4.00,22.00,0.132192,90.60,96.98,2,,,,,,,,
448,150.00,2.00,2.00,2.50,2.50,4.00,22.00,0.264384,193.55,94.87,2,,,,,,,,
449,150.00,2.00,2.00,2.50,2.50,4.00,22.00,0.528768,437.46,91.08,2,,,,,,,,
450,150.00,2.00,2.00,2.50,2.50,4.00,22.00,1.057536,794.38,94.06,2,,,,,,,,
451,150.00,2.50,3.00,3.00,3.00,2.00,10.00,0.066096,22.42,135.06,1,,,,,,,,
452,150.00,2.50,3.00,3.00,3.00,2.00,10.00,0.132192,35.26,146.33,1,,,,,,,,
453,150.00,2.50,3.00,3.00,3.00,2.00,10.00,0.264384,36.10,182.91,2,,,,,,,,
454,150.00,2.50,3.00,3.00,3.00,2.00,10.00,0.528768,85.41,172.96,2,,,,,,,,
455,150.00,2.50,3.00,3.00,3.00,2.00,10.00,1.057536,146.98,181.84,2,,,,,,,,
456,150.00,2.50,3.00,3.00,3.00,2.00,13.00,0.066096,19.14,130.45,1,,,,,,,,
457,150.00,2.50,3.00,3.00,3.00,2.00,13.00,0.132192,56.93,114.28,1,,,,,,,,
458,150.00,2.50,3.00,3.00,3.00,2.00,13.00,0.264384,43.89,157.03,2,,,,,,,,
459,150.00,2.50,3.00,3.00,3.00,2.00,13.00,0.528768,86.93,157.54,2,,,,,,,,
460,150.00,2.50,3.00,3.00,3.00,2.00,13.00,1.057536,143.72,167.86,2,,,,,,,,
461,150.00,2.50,3.00,3.00,3.00,2.00,16.00,0.066096,26.85,108.74,1,,,,,,,,
462,150.00,2.50,3.00,3.00,3.00,2.00,16.00,0.132192,59.50,105.08,1,,,,,,,,
463,150.00,2.50,3.00,3.00,3.00,2.00,16.00,0.264384,50.37,139.96,2,,,,,,,,
464,150.00,2.50,3.00,3.00,3.00,2.00,16.00,0.528768,73.88,155.20,2,,,,,,,,
465,150.00,2.50,3.00,3.00,3.00,2.00,16.00,1.057536,165.66,149.39,2,,,,,,,,
466,150.00,2.50,3.00,3.00,3.00,2.00,19.00,0.066096,33.04,95.82,1,,,,,,,,
467,150.00,2.50,3.00,3.00,3.00,2.00,19.00,0.132192,70.38,93.83,1,,,,,,,,
468,150.00,2.50,3.00,3.00,3.00,2.00,19.00,0.264384,55.37,128.06,2,,,,,,,,
469,150.00,2.50,3.00,3.00,3.00,2.00,19.00,0.528768,83.84,140.51,2,,,,,,,,
470,150.00,2.50,3.00,3.00,3.00,2.00,19.00,1.057536,169.23,140.08,2,,,,,,,,
471,150.00,2.50,3.00,3.00,3.00,2.00,22.00,0.066096,28.01,96.42,1,,,,,,,,
472,150.00,2.50,3.00,3.00,3.00,2.00,22.00,0.132192,59.65,94.42,1,,,,,,,,
473,150.00,2.50,3.00,3.00,3.00,2.00,22.00,0.264384,47.17,128.64,2,,,,,,,,
474,150.00,2.50,3.00,3.00,3.00,2.00,22.00,0.528768,77.44,137.39,2,,,,,,,,
475,150.00,2.50,3.00,3.00,3.00,2.00,22.00,1.057536,158.74,136.27,2,,,,,,,,
476,150.00,3.00,4.00,1.00,3.50,2.50,10.00,0.066096,14.90,164.72,1,,,,,,,,
477,150.00,3.00,4.00,1.00,3.50,2.50,10.00,0.132192,32.08,160.71,1,,,,,,,,
478,150.00,3.00,4.00,1.00,3.50,2.50,10.00,0.264384,27.82,212.34,2,,,,,,,,
479,150.00,3.00,4.00,1.00,3.50,2.50,10.00,0.528768,42.96,231.45,2,,,,,,,,
480,150.00,3.00,4.00,1.00,3.50,2.50,10.00,1.057536,89.26,228.52,2,,,,,,,,
481,150.00,3.00,4.00,1.00,3.50,2.50,13.00,0.066096,16.94,144.60,1,,,,,,,,
482,150.00,3.00,4.00,1.00,3.50,2.50,13.00,0.132192,30.08,150.45,1,,,,,,,,
483,150.00,3.00,4.00,1.00,3.50,2.50,13.00,0.264384,24.98,201.65,2,,,,,,,,
484,150.00,3.00,4.00,1.00,3.50,2.50,13.00,0.528768,57.91,191.97,2,,,,,,,,
485,150.00,3.00,4.00,1.00,3.50,2.50,13.00,1.057536,105.97,197.75,2,,,,,,,,
486,150.00,3.00,4.00,1.00,3.50,2.50,16.00,0.066096,4.16,215.54,1,,,,,,,,
487,150.00,3.00,4.00,1.00,3.50,2.50,16.00,0.132192,32.75,136.46,1,,,,,,,,
488,150.00,3.00,4.00,1.00,3.50,2.50,16.00,0.264384,35.33,167.64,2,,,,,,,,
489,150.00,3.00,4.00,1.00,3.50,2.50,16.00,0.528768,51.85,185.86,2,,,,,,,,
490,150.00,3.00,4.00,1.00,3.50,2.50,16.00,1.057536,94.34,191.81,2,,,,,,,,
491,150.00,3.00,4.00,1.00,3.50,2.50,19.00,0.066096,5.86,181.52,1,,,,,,,,
492,150.00,3.00,4.00,1.00,3.50,2.50,19.00,0.132192,21.07,149.27,2,,,,,,,,
493,150.00,3.00,4.00,1.00,3.50,2.50,19.00,0.264384,37.92,154.62,2,,,,,,,,
494,150.00,3.00,4.00,1.00,3.50,2.50,19.00,0.528768,55.82,171.25,2,,,,,,,,
495,150.00,3.00,4.00,1.00,3.50,2.50,19.00,1.057536,86.52,186.43,2,,,,,,,,
496,150.00,3.00,4.00,1.00,3.50,2.50,22.00,0.066096,15.05,126.22,1,,,,,,,,
497,150.00,3.00,4.00,1.00,3.50,2.50,22.00,0.132192,20.98,142.36,2,,,,,,,,
498,150.00,3.00,4.00,1.00,3.50,2.50,22.00,0.264384,29.51,160.07,2,,,,,,,,
499,150.00,3.00,4.00,1.00,3.50,2.50,22.00,0.528768,50.47,168.65,2,,,,,,,,
500,150.00,3.00,4.00,1.00,3.50,2.50,22.00,1.057536,96.17,171.39,2,,,,,,,,
501,175.00,1.00,6.00,2.50,3.00,2.50,10.00,0.066096,16.19,129.59,1,,,,,,,,
502,175.00,1.00,6.00,2.50,3.00,2.50,10.00,0.132192,90.54,91.99,1,,,,,,,,
503,175.00,1.00,6.00,2.50,3.00,2.50,10.00,0.264384,219.73,86.25,1,,,,,,,,
504,175.00,1.00,6.00,2.50,3.00,2.50,10.00,0.528768,42.49,187.91,2,,,,,,,,
505,175.00,1.00,6.00,2.50,3.00,2.50,10.00,1.057536,70.85,199.65,2,,,,,,,,
506,175.00,1.00,6.00,2.50,3.00,2.50,13.00,0.066096,32.43,94.20,1,,,,,,,,
507,175.00,1.00,6.00,2.50,3.00,2.50,13.00,0.132192,120.56,76.61,1,,,,,,,,
508,175.00,1.00,6.00,2.50,3.00,2.50,13.00,0.264384,165.10,86.92,1,,,,,,,,
509,175.00,1.00,6.00,2.50,3.00,2.50,13.00,0.528768,48.60,164.63,2,,,,,,,,
510,175.00,1.00,6.00,2.50,3.00,2.50,13.00,1.057536,82.94,173.57,2,,,,,,,,
511,175.00,1.00,6.00,2.50,3.00,2.50,16.00,0.066096,30.10,90.11,1,,,,,,,,
512,175.00,1.00,6.00,2.50,3.00,2.50,16.00,0.132192,143.62,67.44,1,,,,,,,,
513,175.00,1.00,6.00,2.50,3.00,2.50,16.00,0.264384,205.15,75.45,1,,,,,,,,
