Experiment,Orifice width,Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary corrected,Rate,Size,regime,Monodispersity
1,175,2.51,4.03,1.44,2.0,3.94,8.0,0.2,48.27,246.51,2,1.24
2,175,2.51,4.03,1.44,2.0,3.94,8.0,0.15,36.66,245.48,2,1.45
4,175,2.51,4.03,1.44,2.0,3.94,8.0,0.1,24.57,245.03,2,1.98
7,175,3.0,5.0,2.0,2.5,2.0,16.0,0.264,19.9,238.7,2,11.3
8,175,2.5,4.0,1.5,2.0,4.0,10.0,0.529,113.86,238.59,2,1.99
9,175,2.5,4.0,1.5,2.0,4.0,10.0,0.264,58.63,236.27,2,1.72
10,150,1.5,6.0,2.0,2.0,3.5,10.0,0.132,11.56,236.12,2,7.06
11,150,3.0,4.01,1.0,3.5,2.49,8.0,0.2,19.99,232.54,2,2.41
12,175,2.5,4.0,1.5,2.0,4.0,10.0,0.132,30.84,232.3,2,2.98
13,150,3.0,4.01,1.0,3.5,2.49,8.0,0.15,15.06,232.17,2,4.2
14,175,2.5,4.0,1.5,2.0,4.0,10.0,1.058,248.32,231.81,2,2.81
15,150,3.0,4.0,1.0,3.5,2.5,10.0,0.529,42.96,231.45,2,1.19
16,150,3.0,4.0,1.0,3.5,2.5,10.0,1.058,89.26,228.52,2,1.07
17,175,3.0,5.0,2.0,2.5,2.0,19.0,1.058,77.19,227.73,2,2.61
18,175,3.0,5.0,2.0,2.5,2.0,16.0,0.529,46.88,226.03,2,1.67
20,175,2.5,4.0,1.5,2.0,4.0,13.0,0.529,109.46,221.51,2,5.86
21,175,3.0,5.0,2.0,2.5,2.0,22.0,1.058,79.72,214.55,2,13.65
23,175,2.5,4.0,1.5,2.0,4.0,13.0,1.058,241.77,214.3,2,5.27
24,175,3.0,5.0,2.0,2.5,2.0,19.0,0.529,46.61,213.85,2,20.37
25,175,2.5,4.0,1.5,2.0,4.0,16.0,0.264,49.56,213.65,2,1.46
26,150,3.0,4.0,1.0,3.5,2.5,10.0,0.264,27.82,212.34,2,1.18
27,175,2.5,4.0,1.5,2.0,4.0,16.0,0.529,101.41,212.02,2,9.19
28,175,3.0,5.0,2.0,2.5,2.0,22.0,0.529,41.38,211.89,2,4.58
31,175,2.5,4.0,1.5,2.0,4.0,13.0,0.132,31.59,211.15,2,1.98
32,175,2.5,4.0,1.5,2.0,4.0,13.0,0.264,65.01,209.15,2,1.3
33,150,1.5,6.0,2.0,2.0,3.5,10.0,0.264,34.3,207.05,2,1.67
35,175,2.0,3.0,1.0,4.0,3.5,10.0,0.264,31.36,206.54,2,2.55
39,150,3.0,4.0,1.0,3.5,2.5,13.0,0.264,24.98,201.65,2,1.85
40,175,1.0,5.96,2.5,3.02,2.49,10.41,1.058,65.37,201.63,2,3.87
41,175,2.51,4.03,1.44,2.0,3.94,13.0,0.26,71.45,200.8,2,2.11
43,175,2.51,4.03,1.44,2.0,3.94,12.62,0.078,22.02,200.5,2,7.42
44,175,1.0,6.0,2.5,3.0,2.5,10.0,1.058,70.85,199.65,2,10.13
45,150,1.5,6.0,2.0,2.0,3.5,10.0,0.529,77.97,198.41,2,2.1
46,175,2.5,4.0,1.5,2.0,4.0,16.0,1.058,247.82,198.32,2,7.63
47,175,2.51,4.03,1.44,2.0,3.94,14.0,0.15,39.87,198.08,2,1.67
48,150,3.0,4.0,1.0,3.5,2.5,13.0,1.058,105.97,197.75,2,9.87
49,175,2.51,4.03,1.44,2.0,3.94,14.0,0.05,13.46,197.24,2,5.42
51,175,2.51,4.03,1.44,2.0,3.94,14.0,0.2,53.87,197.21,2,1.53
53,125,2.0,6.0,1.5,3.5,2.0,10.0,0.529,28.02,195.81,2,6.55
55,175,3.0,5.0,2.0,2.5,2.0,19.0,0.264,31.19,194.05,2,6.35
56,125,2.0,6.0,1.5,3.5,2.0,10.0,0.264,14.46,193.78,2,1.48
