Experiment,Orifice width (um),Aspect ratio,Flow rate ratio,New_ca_number,Normalized oil inlet,Normalized water inlet,Expansion ratio,Qin,Observed droplet diameter (um),Observed generation rate (Hz),Norm. size,Depth,Hyd_d,viscosity ratio
1,45,1,12.74509804,3.65457118,1,1,1,510,39.461,4401.191693,0.876911111,45,45,0.80780911
2,45,1,10.48387097,3.65457118,1,1,1,620,39.617,5287.511217,0.880377778,45,45,0.80780911
3,45,1,10.4,3.65457118,1,1,1,625,39.639,5321.282514,0.880866667,45,45,0.80780911
4,45,1,12.74509804,3.65457118,1,1,1,510,40.715,4006.925127,0.904777778,45,45,0.80780911
5,45,1,11.81818182,3.65457118,1,1,1,550,39.614,4691.599878,0.880311111,45,45,0.80780911
6,45,1,11.01694915,3.65457118,1,1,1,590,38.885,5321.205979,0.864111111,45,45,0.80780911
7,45,1,10.48387097,3.65457118,1,1,1,620,38.865,5600.412831,0.863666667,45,45,0.80780911
8,45,1,10.4,3.65457118,1,1,1,625,38.725,5707.029358,0.860555556,45,45,0.80780911
9,45,1,10.31746032,3.65457118,1,1,1,630,39.371,5474.135974,0.874911111,45,45,0.80780911
10,45,1,10.31746032,3.65457118,1,1,1,630,39.716,5332.715466,0.882577778,45,45,0.80780911
11,45,1,10.23622047,3.65457118,1,1,1,635,39.189,5594.812663,0.870866667,45,45,0.80780911
12,45,1,10.31746032,3.65457118,1,1,1,630,39.041,5614.125522,0.867577778,45,45,0.80780911
13,45,1,10.15625,3.65457118,1,1,1,640,39.157,5652.70224,0.870155556,45,45,0.80780911
14,45,1,10.31746032,3.65457118,1,1,1,630,38.858,5693.818068,0.863511111,45,45,0.80780911
15,45,1,10.31746032,3.65457118,1,1,1,630,39.629,5367.91435,0.880644444,45,45,0.80780911
16,45,1,10.31746032,3.65457118,1,1,1,630,40.98,4854.327309,0.910666667,45,45,0.80780911
17,45,1,8.666666667,3.65457118,1,1,1,750,38.628,6900.156863,0.8584,45,45,0.80780911
18,45,1,7.471264368,3.65457118,1,1,1,870,38.837,7875.653419,0.863044444,45,45,0.80780911
19,45,1,6.565656566,3.65457118,1,1,1,990,38.891,8924.671354,0.864244444,45,45,0.80780911
20,45,1,10.31746032,3.65457118,1,1,1,630,40.221,5134.360111,0.8938,45,45,0.80780911
21,45,1,10.48387097,3.65457118,1,1,1,620,40.231,5049.095381,0.894022222,45,45,0.80780911
22,45,1,10.4,3.65457118,1,1,1,625,40.162,5116.092529,0.892488889,45,45,0.80780911
23,45,1,10.23622047,3.65457118,1,1,1,635,40.228,5172.407938,0.893955556,45,45,0.80780911
24,45,1,10.15625,3.65457118,1,1,1,640,40.184,5230.278891,0.892977778,45,45,0.80780911
25,45,1,10.48387097,3.65457118,1,1,1,620,40.238,5046.460743,0.894177778,45,45,0.80780911
26,45,1,10.4,3.65457118,1,1,1,625,40.242,5085.641188,0.894266667,45,45,0.80780911
27,45,1,10.23622047,3.65457118,1,1,1,635,40.47,5080.172751,0.899333333,45,45,0.80780911
28,45,1,10.15625,3.65457118,1,1,1,640,40.106,5260.854543,0.891244444,45,45,0.80780911
29,45,1,11.81818182,3.65457118,1,1,1,550,40.605,4356.407666,0.902333333,45,45,0.80780911
30,45,1,11.01694915,3.65457118,1,1,1,590,40.446,4728.568096,0.8988,45,45,0.80780911
31,45,1,9.701492537,3.65457118,1,1,1,670,40.887,5197.846291,0.9086,45,45,0.80780911
32,45,1,12.74509804,3.65457118,1,1,1,510,40.265,4142.775836,0.894777778,45,45,0.80780911
33,45,1,8.666666667,3.65457118,1,1,1,750,40,6214.206172,0.888888889,45,45,0.80780911
34,45,1,7.471264368,3.65457118,1,1,1,870,40.015,7200.375699,0.889222222,45,45,0.80780911
35,45,1,6.565656566,3.65457118,1,1,1,990,39.784,8337.084908,0.884088889,45,45,0.80780911
36,45,1,10.31746032,3.65457118,1,1,1,630,40.482,5035.690575,0.8996,45,45,0.80780911
37,45,1,10.31746032,3.65457118,1,1,1,630,40.568,5003.732975,0.901511111,45,45,0.80780911
38,45,1,10.31746032,3.65457118,1,1,1,630,40.444,5049.898079,0.898755556,45,45,0.80780911
39,45,1,10.31746032,3.65457118,1,1,1,630,40.501,5028.606806,0.900022222,45,45,0.80780911
40,45,1,10.31746032,3.65457118,1,1,1,630,41.515,4669.063616,0.922555556,45,45,0.80780911
41,45,1,10.31746032,3.65457118,1,1,1,630,42.537,4340.545832,0.945266667,45,45,0.80780911
42,45,1,10.31746032,3.65457118,1,1,1,630,40.732,4943.536132,0.905155556,45,45,0.80780911
43,45,1,12.74509804,3.65457118,1,1,1,510,45.136,2941.069845,1.003022222,45,45,0.80780911
44,45,1,10.31746032,3.65457118,1,1,1,630,43.252,4128.823663,0.961155556,45,45,0.80780911
45,45,1,10.31746032,3.65457118,1,1,1,630,43.359,4098.332083,0.963533333,45,45,0.80780911
46,45,1,11.81818182,3.65457118,1,1,1,550,45.754,3044.947819,1.016755556,45,45,0.80780911
47,45,1,11.01694915,3.65457118,1,1,1,590,44.22,3618.263286,0.982666667,45,45,0.80780911
48,45,1,10.31746032,3.65457118,1,1,1,630,43.813,3972.244234,0.973622222,45,45,0.80780911
49,45,1,9.701492537,3.65457118,1,1,1,670,46.246,3592.168058,1.027688889,45,45,0.80780911
50,45,1,10.31746032,3.65457118,1,1,1,630,43.846,3963.282042,0.974355556,45,45,0.80780911
51,45,1,10.31746032,3.65457118,1,1,1,630,45.071,3648.827532,1.001577778,45,45,0.80780911
52,45,1,10.31746032,3.65457118,1,1,1,630,46.699,3280.365046,1.037755556,45,45,0.80780911
53,45,1,8.666666667,3.65457118,1,1,1,750,44.248,4590.761128,0.983288889,45,45,0.80780911
54,45,1,7.471264368,3.65457118,1,1,1,870,44.577,5208.241442,0.9906,45,45,0.80780911
55,45,1,6.565656566,3.65457118,1,1,1,990,45.795,5466.198179,1.017666667,45,45,0.80780911
56,45,1,10.15625,3.65457118,1,1,1,640,38.29,6045.44457,0.850888889,45,45,0.80780911
57,45,1,9.420289855,3.65457118,1,1,1,690,38.366,6479.088199,0.852577778,45,45,0.80780911
58,45,1,8.783783784,3.65457118,1,1,1,740,37.776,7279.275879,0.839466667,45,45,0.80780911
59,45,1,8.783783784,3.65457118,1,1,1,740,38.939,6646.327018,0.865311111,45,45,0.80780911
60,45,1,10.15625,3.65457118,1,1,1,640,40.587,5076.021911,0.901933333,45,45,0.80780911
61,45,1,9.420289855,3.65457118,1,1,1,690,39.207,6071.033388,0.871266667,45,45,0.80780911
62,45,1,8.724832215,3.65457118,1,1,1,745,38.823,6751.392634,0.862733333,45,45,0.80780911
63,45,1,8.441558442,3.65457118,1,1,1,770,39.012,6877.02253,0.866933333,45,45,0.80780911
64,45,1,8.125,3.65457118,1,1,1,800,39.584,6839.67273,0.879644444,45,45,0.80780911
